iter	RMSE
0	4.648711537
1	4.483900632
2	4.310314025
3	4.15843752
4	4.026925915
5	3.905451377
6	3.810396534
7	3.737651992
8	3.654174805
9	3.591275394
10	3.533247669
11	3.482432982
12	3.438911932
13	3.399812014
14	3.35543285
15	3.326038676
16	3.300117255
17	3.277164113
18	3.253608258
19	3.231275027
20	3.209585337
21	3.185440368
22	3.172943007
23	3.160656709
24	3.151724795
25	3.138119332
26	3.126319695
27	3.115644375
28	3.103439151
29	3.09521523
30	3.08739717
31	3.078599148
32	3.071693123
33	3.064761643
34	3.058838755
35	3.047545591
36	3.040234047
37	3.031407992
38	3.024690866
39	3.017483616
40	3.013511651
41	3.009260035
42	3.003221781
43	2.998260944
44	2.992034024
45	2.983292228
46	2.980124315
47	2.974186718
48	2.965161286
49	2.956328503
50	2.951831942
51	2.944822497
52	2.939604883
53	2.935961335
54	2.931261103
55	2.926180107
56	2.921358182
57	2.914421308
58	2.909078522
59	2.905153747
60	2.899716252
61	2.895940029
62	2.891170205
63	2.887568769
64	2.879538872
65	2.873350849
66	2.868216943
67	2.865894233
68	2.863107591
69	2.859341137
70	2.853822491
71	2.847105676
72	2.841002796
73	2.837561497
74	2.834463903
75	2.829815851
76	2.82583361
77	2.819569173
78	2.814599284
79	2.802634197
80	2.79959592
81	2.794763921
82	2.790972341
83	2.785730778
84	2.779309397
85	2.774978564
86	2.768416907
87	2.762426367
88	2.755751152
89	2.751119364
90	2.74417142
91	2.742829236
92	2.736437742
93	2.729213522
94	2.723237643
95	2.719975619
96	2.715543874
97	2.712408235
98	2.702059558
99	2.697410368
