iter	Passed	Remaining
0	164	16280
1	166	8149
2	167	5426
3	169	4063
4	170	3246
5	172	2701
6	173	2309
7	175	2014
8	176	1782
9	178	1606
10	180	1460
11	182	1336
12	183	1229
13	185	1140
14	187	1061
15	188	991
16	190	928
17	192	875
18	193	825
19	195	780
20	196	738
21	198	703
22	199	668
23	201	637
24	202	607
25	203	580
26	205	556
27	207	532
28	208	510
29	210	490
30	211	471
31	213	453
32	214	436
33	216	420
34	218	405
35	219	390
36	220	375
37	222	362
38	223	350
39	225	338
40	226	326
41	228	315
42	229	304
43	231	294
44	232	284
45	234	275
46	236	266
47	237	257
48	239	248
49	240	240
50	242	232
51	243	224
52	244	217
53	246	209
54	247	202
55	249	196
56	251	189
57	252	183
58	254	177
59	256	171
60	258	165
61	259	159
62	261	153
63	263	148
64	264	142
65	266	137
66	268	132
67	269	126
68	271	121
69	272	116
70	273	111
71	275	107
72	276	102
73	278	97
74	279	93
75	281	88
76	282	84
77	284	80
78	286	76
79	287	71
80	289	67
81	290	63
82	293	60
83	295	56
84	297	52
85	299	48
86	301	45
87	304	41
88	305	37
89	306	34
90	308	30
91	309	26
92	310	23
93	311	19
94	313	16
95	314	13
96	316	9
97	318	6
98	323	3
99	330	0
