driverId	abbreviation	name	firstName	lastName	driverNumber
nico-rosberg	ROS	Nico Rosberg	Nico	Rosberg	6
lewis-hamilton	HAM	Lewis Hamilton	Lewis	Hamilton	44
valtteri-bottas	BOT	Valtteri Bottas	Valtteri	Bottas	77
carlos-sainz-jr	SAI	Carlos Sainz Jr.	Carlos	Sainz Jr.	55
sebastian-vettel	VET	Sebastian Vettel	Sebastian	Vettel	5
max-verstappen	VER	Max Verstappen	Max	Verstappen	33
felipe-massa	MAS	Felipe Massa	Felipe	Massa	19
kimi-raikkonen	RAI	Kimi Räikkönen	Kimi	Räikkönen	7
pastor-maldonado	MAL	Pastor Maldonado	Pastor	Maldonado	13
daniel-ricciardo	RIC	Daniel Ricciardo	Daniel	Ricciardo	3
daniil-kvyat	KVY	Daniil Kvyat	Daniil	Kvyat	26
sergio-perez	PER	Sergio Pérez	Sergio	Pérez	11
nico-hulkenberg	HUL	Nico Hülkenberg	Nico	Hülkenberg	27
jenson-button	BUT	Jenson Button	Jenson	Button	22
kevin-magnussen	MAG	Kevin Magnussen	Kevin	Magnussen	20
romain-grosjean	GRO	Romain Grosjean	Romain	Grosjean	8
marcus-ericsson	ERI	Marcus Ericsson	Marcus	Ericsson	9
raffaele-marciello	MAR	Raffaele Marciello	Raffaele	Marciello	36
fernando-alonso	ALO	Fernando Alonso	Fernando	Alonso	14
will-stevens	STE	Will Stevens	Will	Stevens	28
roberto-merhi	MER	Roberto Merhi	Roberto	Merhi	98
felipe-nasr	NAS	Felipe Nasr	Felipe	Nasr	12
jolyon-palmer	PAL	Jolyon Palmer	Jolyon	Palmer	30
susie-wolff	WOL	Susie Wolff	Susie	Wolff	41
fabio-leimer	LEI	Fabio Leimer	Fabio	Leimer	42
alexander-rossi	RSI	Alexander Rossi	Alexander	Rossi	53
pascal-wehrlein	WEH	Pascal Wehrlein	Pascal	Wehrlein	94
esteban-gutierrez	GUT	Esteban Gutiérrez	Esteban	Gutiérrez	21
rio-haryanto	HAR	Rio Haryanto	Rio	Haryanto	88
stoffel-vandoorne	VAN	Stoffel Vandoorne	Stoffel	Vandoorne	47
alfonso-celis-jr	CEL	Alfonso Celis Jr.	Alfonso	Celis Jr.	34
sergey-sirotkin	SIR	Sergey Sirotkin	Sergey	Sirotkin	46
esteban-ocon	OCO	Esteban Ocon	Esteban	Ocon	45
charles-leclerc	LEC	Charles Leclerc	Charles	Leclerc	50
jordan-king	KIN	Jordan King	Jordan	King	42
lance-stroll	STR	Lance Stroll	Lance	Stroll	18
antonio-giovinazzi	GIO	Antonio Giovinazzi	Antonio	Giovinazzi	36
sean-gelael	GEL	Sean Gelael	Sean	Gelael	38
pierre-gasly	GAS	Pierre Gasly	Pierre	Gasly	10
brendon-hartley	HAR	Brendon Hartley	Brendon	Hartley	39
george-russell	RUS	George Russell	George	Russell	35
robert-kubica	KUB	Robert Kubica	Robert	Kubica	40
nicholas-latifi	LAT	Nicholas Latifi	Nicholas	Latifi	34
lando-norris	NOR	Lando Norris	Lando	Norris	47
artem-markelov	MAR	Artem Markelov	Artem	Markelov	46
alexander-albon	ALB	Alexander Albon	Alexander	Albon	23
naoki-yamamoto	YAM	Naoki Yamamoto	Naoki	Yamamoto	38
jack-aitken	AIT	Jack Aitken	Jack	Aitken	40
roy-nissany	NIS	Roy Nissany	Roy	Nissany	40
pietro-fittipaldi	FIT	Pietro Fittipaldi	Pietro	Fittipaldi	51
mick-schumacher	MSC	Mick Schumacher	Mick	Schumacher	50
yuki-tsunoda	TSU	Yuki Tsunoda	Yuki	Tsunoda	22
nikita-mazepin	MAZ	Nikita Mazepin	Nikita	Mazepin	9
callum-ilott	ILO	Callum Ilott	Callum	Ilott	98
guanyu-zhou	ZHO	Guanyu Zhou	Guanyu	Zhou	37
nyck-de-vries	DEV	Nyck de Vries	Nyck	De Vries	45
juri-vips	VIP	Jüri Vips	Jüri	Vips	36
liam-lawson	LAW	Liam Lawson	Liam	Lawson	40
robert-shwartzman	SHW	Robert Shwartzman	Robert	Shwartzman	39
alex-palou	PAL	Álex Palou	Álex	Palou	28
theo-pourchaire	POU	Théo Pourchaire	Théo	Pourchaire	98
logan-sargeant	SAR	Logan Sargeant	Logan	Sargeant	45
jack-doohan	DOO	Jack Doohan	Jack	Doohan	82
patricio-oward	OWA	Patricio O'Ward	Patricio	O'Ward	28
