Driver	LapNumber	Position	round	year
GAS	1.0	17.0	1	2018
GAS	2.0	17.0	1	2018
GAS	3.0	17.0	1	2018
GAS	4.0	17.0	1	2018
GAS	5.0	17.0	1	2018
GAS	6.0	16.0	1	2018
GAS	7.0	16.0	1	2018
GAS	8.0	16.0	1	2018
GAS	9.0	16.0	1	2018
GAS	10.0	16.0	1	2018
GAS	11.0	16.0	1	2018
GAS	12.0	16.0	1	2018
GAS	13.0	16.0	1	2018
GAS	14.0	18.0	1	2018
PER	1.0	12.0	1	2018
PER	2.0	12.0	1	2018
PER	3.0	12.0	1	2018
PER	4.0	12.0	1	2018
PER	5.0	12.0	1	2018
PER	6.0	12.0	1	2018
PER	7.0	12.0	1	2018
PER	8.0	12.0	1	2018
PER	9.0	12.0	1	2018
PER	10.0	12.0	1	2018
PER	11.0	12.0	1	2018
PER	12.0	12.0	1	2018
PER	13.0	12.0	1	2018
PER	14.0	12.0	1	2018
PER	15.0	12.0	1	2018
PER	16.0	12.0	1	2018
PER	17.0	12.0	1	2018
PER	18.0	12.0	1	2018
PER	19.0	12.0	1	2018
PER	20.0	12.0	1	2018
PER	21.0	11.0	1	2018
PER	22.0	10.0	1	2018
PER	23.0	9.0	1	2018
PER	24.0	13.0	1	2018
PER	25.0	11.0	1	2018
PER	26.0	11.0	1	2018
PER	27.0	11.0	1	2018
PER	28.0	11.0	1	2018
PER	29.0	11.0	1	2018
PER	30.0	11.0	1	2018
PER	31.0	11.0	1	2018
PER	32.0	11.0	1	2018
PER	33.0	11.0	1	2018
PER	34.0	11.0	1	2018
PER	35.0	11.0	1	2018
PER	36.0	11.0	1	2018
PER	37.0	11.0	1	2018
PER	38.0	11.0	1	2018
PER	39.0	11.0	1	2018
PER	40.0	11.0	1	2018
PER	41.0	11.0	1	2018
PER	42.0	11.0	1	2018
PER	43.0	11.0	1	2018
PER	44.0	11.0	1	2018
PER	45.0	11.0	1	2018
PER	46.0	11.0	1	2018
PER	47.0	11.0	1	2018
PER	48.0	11.0	1	2018
PER	49.0	11.0	1	2018
PER	50.0	11.0	1	2018
PER	51.0	11.0	1	2018
PER	52.0	11.0	1	2018
PER	53.0	11.0	1	2018
PER	54.0	11.0	1	2018
PER	55.0	11.0	1	2018
PER	56.0	11.0	1	2018
PER	57.0	11.0	1	2018
PER	58.0	11.0	1	2018
ALO	1.0	10.0	1	2018
ALO	2.0	10.0	1	2018
ALO	3.0	10.0	1	2018
ALO	4.0	10.0	1	2018
ALO	5.0	10.0	1	2018
ALO	6.0	10.0	1	2018
ALO	7.0	10.0	1	2018
ALO	8.0	10.0	1	2018
ALO	9.0	10.0	1	2018
ALO	10.0	10.0	1	2018
ALO	11.0	10.0	1	2018
ALO	12.0	10.0	1	2018
ALO	13.0	10.0	1	2018
ALO	14.0	10.0	1	2018
ALO	15.0	10.0	1	2018
ALO	16.0	10.0	1	2018
ALO	17.0	10.0	1	2018
ALO	18.0	10.0	1	2018
ALO	19.0	10.0	1	2018
ALO	20.0	10.0	1	2018
ALO	21.0	9.0	1	2018
ALO	22.0	7.0	1	2018
ALO	23.0	7.0	1	2018
ALO	24.0	5.0	1	2018
ALO	25.0	5.0	1	2018
ALO	26.0	5.0	1	2018
ALO	27.0	6.0	1	2018
ALO	28.0	6.0	1	2018
ALO	29.0	6.0	1	2018
ALO	30.0	6.0	1	2018
ALO	31.0	5.0	1	2018
ALO	32.0	5.0	1	2018
ALO	33.0	5.0	1	2018
ALO	34.0	5.0	1	2018
ALO	35.0	5.0	1	2018
ALO	36.0	5.0	1	2018
ALO	37.0	5.0	1	2018
ALO	38.0	5.0	1	2018
ALO	39.0	5.0	1	2018
ALO	40.0	5.0	1	2018
ALO	41.0	5.0	1	2018
ALO	42.0	5.0	1	2018
ALO	43.0	5.0	1	2018
ALO	44.0	5.0	1	2018
ALO	45.0	5.0	1	2018
ALO	46.0	5.0	1	2018
ALO	47.0	5.0	1	2018
ALO	48.0	5.0	1	2018
ALO	49.0	5.0	1	2018
ALO	50.0	5.0	1	2018
ALO	51.0	5.0	1	2018
ALO	52.0	5.0	1	2018
ALO	53.0	5.0	1	2018
ALO	54.0	5.0	1	2018
ALO	55.0	5.0	1	2018
ALO	56.0	5.0	1	2018
ALO	57.0	5.0	1	2018
ALO	58.0	5.0	1	2018
LEC	1.0	18.0	1	2018
LEC	2.0	18.0	1	2018
LEC	3.0	18.0	1	2018
LEC	4.0	18.0	1	2018
LEC	5.0	18.0	1	2018
LEC	6.0	17.0	1	2018
LEC	7.0	17.0	1	2018
LEC	8.0	17.0	1	2018
LEC	9.0	17.0	1	2018
LEC	10.0	17.0	1	2018
LEC	11.0	17.0	1	2018
LEC	12.0	17.0	1	2018
LEC	13.0	17.0	1	2018
LEC	14.0	16.0	1	2018
LEC	15.0	16.0	1	2018
LEC	16.0	16.0	1	2018
LEC	17.0	16.0	1	2018
LEC	18.0	16.0	1	2018
LEC	19.0	16.0	1	2018
LEC	20.0	17.0	1	2018
LEC	21.0	17.0	1	2018
LEC	22.0	16.0	1	2018
LEC	23.0	15.0	1	2018
LEC	24.0	15.0	1	2018
LEC	25.0	14.0	1	2018
LEC	26.0	14.0	1	2018
LEC	27.0	14.0	1	2018
LEC	28.0	14.0	1	2018
LEC	29.0	14.0	1	2018
LEC	30.0	14.0	1	2018
LEC	31.0	14.0	1	2018
LEC	32.0	13.0	1	2018
LEC	33.0	13.0	1	2018
LEC	34.0	13.0	1	2018
LEC	35.0	13.0	1	2018
LEC	36.0	13.0	1	2018
LEC	37.0	13.0	1	2018
LEC	38.0	13.0	1	2018
LEC	39.0	13.0	1	2018
LEC	40.0	13.0	1	2018
LEC	41.0	13.0	1	2018
LEC	42.0	13.0	1	2018
LEC	43.0	13.0	1	2018
LEC	44.0	13.0	1	2018
LEC	45.0	13.0	1	2018
LEC	46.0	13.0	1	2018
LEC	47.0	13.0	1	2018
LEC	48.0	13.0	1	2018
LEC	49.0	13.0	1	2018
LEC	50.0	13.0	1	2018
LEC	51.0	13.0	1	2018
LEC	52.0	13.0	1	2018
LEC	53.0	13.0	1	2018
LEC	54.0	13.0	1	2018
LEC	55.0	13.0	1	2018
LEC	56.0	13.0	1	2018
LEC	57.0	13.0	1	2018
LEC	58.0	13.0	1	2018
STR	1.0	14.0	1	2018
STR	2.0	14.0	1	2018
STR	3.0	14.0	1	2018
STR	4.0	15.0	1	2018
STR	5.0	15.0	1	2018
STR	6.0	15.0	1	2018
STR	7.0	15.0	1	2018
STR	8.0	15.0	1	2018
STR	9.0	15.0	1	2018
STR	10.0	15.0	1	2018
STR	11.0	15.0	1	2018
STR	12.0	15.0	1	2018
STR	13.0	15.0	1	2018
STR	14.0	15.0	1	2018
STR	15.0	15.0	1	2018
STR	16.0	15.0	1	2018
STR	17.0	15.0	1	2018
STR	18.0	15.0	1	2018
STR	19.0	15.0	1	2018
STR	20.0	15.0	1	2018
STR	21.0	15.0	1	2018
STR	22.0	14.0	1	2018
STR	23.0	12.0	1	2018
