Time	Driver	DriverNumber	LapTime	LapNumber	Stint	PitOutTime	PitInTime	Sector1Time	Sector2Time	Sector3Time	Sector1SessionTime	Sector2SessionTime	Sector3SessionTime	SpeedI1	SpeedI2	SpeedFL	SpeedST	IsPersonalBest	Compound	TyreLife	FreshTyre	Team	LapStartTime	LapStartDate	TrackStatus	Position	Deleted	DeletedReason	FastF1Generated	IsAccurate	Year	FP_Name	Round	Session	best_s1	best_s2	best_s3	best_theory_lap	best_theory_lap_diff	SpeedI1_mph	SpeedI2_mph	SpeedFL_mph	SpeedST_mph	LapTime_sec	Sector1Time_sec	Sector2Time_sec	Sector3Time_sec	best_s1_sec	best_s2_sec	best_s3_sec	best_theory_lap_sec	best_theory_lap_diff_sec	raceId	raceId.1	raceId.2	raceId.3	raceId.4	raceId
0 days 00:53:23.995000	VAN	2	0 days 00:01:34.233000	13.0	3.0			0 days 00:00:30.878000	0 days 00:00:25.279000	0 days 00:00:38.076000	0 days 00:52:20.640000	0 days 00:52:45.919000	0 days 00:53:23.995000	261.0	279.0	287.0	298.0	True	INTERMEDIATE	12.0	False	McLaren	0 days 00:51:49.762000	2018-03-24 03:47:56.936	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:30.878000	0 days 00:00:25.279000	0 days 00:00:38.076000	0 days 00:01:34.233000	0 days 00:00:00	162.177831	173.362509	178.333477	185.168558	94.233	30.878	25.279	38.076	30.878	25.279	38.076	94.233	0.0	977	977	977	977	977	977
0 days 01:04:33.766000	RIC	3	0 days 00:01:34.043000	13.0	2.0			0 days 00:00:31.031000	0 days 00:00:25.112000	0 days 00:00:37.900000	0 days 01:03:30.754000	0 days 01:03:55.866000	0 days 01:04:33.766000	260.0	279.0	287.0	286.0	True	INTERMEDIATE	13.0	False	Red Bull Racing	0 days 01:02:59.723000	2018-03-24 03:59:06.897	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:31.031000	0 days 00:00:25.112000	0 days 00:00:37.795000	0 days 00:01:33.938000	0 days 00:00:00.105000	161.55646000000002	173.362509	178.333477	177.712106	94.043	31.031	25.112	37.9	31.031	25.112	37.795	93.938	0.105	977	977	977	977	977	977
0 days 01:04:05.510000	VET	5	0 days 00:01:26.067000	14.0	3.0			0 days 00:00:28.923000	0 days 00:00:23.192000	0 days 00:00:33.952000	0 days 01:03:08.366000	0 days 01:03:31.558000	0 days 01:04:05.510000	274.0	291.0	309.0	308.0	True	ULTRASOFT	2.0	True	Ferrari	0 days 01:02:39.443000	2018-03-24 03:58:46.617	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:28.923000	0 days 00:00:23.192000	0 days 00:00:33.952000	0 days 00:01:26.067000	0 days 00:00:00	170.255654	180.818961	192.003639	191.382268	86.067	28.923	23.192	33.952	28.923	23.192	33.952	86.067	0.0	977	977	977	977	977	977
0 days 01:05:18.919000	RAI	7	0 days 00:01:28.499000	12.0	5.0			0 days 00:00:29.780000	0 days 00:00:23.789000	0 days 00:00:34.930000	0 days 01:04:20.200000	0 days 01:04:43.989000	0 days 01:05:18.919000	273.0	291.0	303.0	292.0	True	ULTRASOFT	2.0	True	Ferrari	0 days 01:03:50.420000	2018-03-24 03:59:57.594	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:29.780000	0 days 00:00:23.789000	0 days 00:00:34.930000	0 days 00:01:28.499000	0 days 00:00:00	169.634283	180.818961	188.27541300000001	181.440332	88.499	29.78	23.789	34.93	29.78	23.789	34.93	88.499	0.0	977	977	977	977	977	977
0 days 00:44:20.519000	GRO	8	0 days 00:01:36.171000	4.0	2.0			0 days 00:00:31.767000	0 days 00:00:25.553000	0 days 00:00:38.851000	0 days 00:43:16.115000	0 days 00:43:41.668000	0 days 00:44:20.519000	265.0	285.0	291.0	288.0	True	INTERMEDIATE	3.0	True	Haas F1 Team	0 days 00:42:44.348000	2018-03-24 03:38:51.522	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:31.767000	0 days 00:00:25.553000	0 days 00:00:38.851000	0 days 00:01:36.171000	0 days 00:00:00	164.663315	177.090735	180.818961	178.954848	96.171	31.767	25.553	38.851	31.767	25.553	38.851	96.171	0.0	977	977	977	977	977	977
0 days 01:05:17.701000	ERI	9	0 days 00:01:28.890000	13.0	3.0			0 days 00:00:29.842000	0 days 00:00:23.687000	0 days 00:00:35.361000	0 days 01:04:18.653000	0 days 01:04:42.340000	0 days 01:05:17.701000	271.0	290.0	296.0	292.0	True	ULTRASOFT	2.0	True	Sauber	0 days 01:03:48.811000	2018-03-24 03:59:55.985	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:29.842000	0 days 00:00:23.687000	0 days 00:00:35.361000	0 days 00:01:28.890000	0 days 00:00:00	168.391541	180.19759	183.925816	181.440332	88.89	29.842	23.687	35.361	29.842	23.687	35.361	88.89	0.0	977	977	977	977	977	977
0 days 00:43:47.332000	GAS	10	0 days 00:01:34.990000	13.0	3.0			0 days 00:00:31.187000	0 days 00:00:25.521000	0 days 00:00:38.282000	0 days 00:42:43.529000	0 days 00:43:09.050000	0 days 00:43:47.332000	262.0	277.0	285.0	300.0	True	INTERMEDIATE	11.0	True	Toro Rosso	0 days 00:42:12.342000	2018-03-24 03:38:19.516	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:31.187000	0 days 00:00:25.521000	0 days 00:00:38.282000	0 days 00:01:34.990000	0 days 00:00:00	162.799202	172.119767	177.090735	186.4113	94.99	31.187	25.521	38.282	31.187	25.521	38.282	94.99	0.0	977	977	977	977	977	977
0 days 00:37:43.527000	ALO	14	0 days 00:01:34.298000	9.0	2.0			0 days 00:00:31.144000	0 days 00:00:25.268000	0 days 00:00:37.886000	0 days 00:36:40.373000	0 days 00:37:05.641000	0 days 00:37:43.527000	264.0	280.0	296.0	300.0	True	INTERMEDIATE	9.0	False	McLaren	0 days 00:36:09.229000	2018-03-24 03:32:16.403			False		False	False	2018	Australian Grand Prix	1	FP3	0 days 00:00:30.927000	0 days 00:00:25.218000	0 days 00:00:37.886000	0 days 00:01:34.031000	0 days 00:00:00.267000	164.041944	173.98388	183.925816	186.4113	94.298	31.144	25.268	37.886	30.927	25.218	37.886	94.031	0.267	977	977	977	977	977	977
0 days 01:03:32.161000	LEC	16	0 days 00:01:36.448000	11.0	3.0			0 days 00:00:31.969000	0 days 00:00:25.591000	0 days 00:00:38.888000	0 days 01:02:27.682000	0 days 01:02:53.273000	0 days 01:03:32.161000	257.0	284.0	290.0	292.0	True	INTERMEDIATE	10.0	False	Sauber	0 days 01:01:55.713000	2018-03-24 03:58:02.887	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:31.969000	0 days 00:00:25.583000	0 days 00:00:38.888000	0 days 00:01:36.440000	0 days 00:00:00.008000	159.692347	176.469364	180.19759	181.440332	96.448	31.969	25.591	38.888	31.969	25.583	38.888	96.44	0.008	977	977	977	977	977	977
0 days 00:55:58.683000	STR	18	0 days 00:01:35.828000	5.0	1.0			0 days 00:00:31.378000	0 days 00:00:25.605000	0 days 00:00:38.845000	0 days 00:54:54.233000	0 days 00:55:19.838000	0 days 00:55:58.683000	257.0	279.0	282.0	295.0	True	INTERMEDIATE	4.0	True	Williams	0 days 00:54:22.855000	2018-03-24 03:50:30.029	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:31.378000	0 days 00:00:25.454000	0 days 00:00:38.580000	0 days 00:01:35.412000	0 days 00:00:00.416000	159.692347	173.362509	175.226622	183.30444500000002	95.828	31.378	25.605	38.845	31.378	25.454	38.58	95.412	0.416	977	977	977	977	977	977
0 days 00:41:39.634000	MAG	20	0 days 00:01:36.807000	3.0	2.0			0 days 00:00:32.106000	0 days 00:00:26.115000	0 days 00:00:38.586000	0 days 00:40:34.933000	0 days 00:41:01.048000	0 days 00:41:39.634000	265.0	279.0	290.0	286.0	True	INTERMEDIATE	2.0	True	Haas F1 Team	0 days 00:40:02.827000	2018-03-24 03:36:10.001	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:31.705000	0 days 00:00:25.764000	0 days 00:00:38.586000	0 days 00:01:36.055000	0 days 00:00:00.752000	164.663315	173.362509	180.19759	177.712106	96.807	32.106	26.115	38.586	31.705	25.764	38.586	96.055	0.752	977	977	977	977	977	977
0 days 00:24:45.811000	HUL	27	0 days 00:01:38.482000	5.0	2.0			0 days 00:00:32.670000	0 days 00:00:26.296000	0 days 00:00:39.516000	0 days 00:23:39.999000	0 days 00:24:06.295000	0 days 00:24:45.811000	255.0	276.0	275.0	279.0	True	INTERMEDIATE	4.0	True	Renault	0 days 00:23:07.329000	2018-03-24 03:19:14.503			False		False	False	2018	Australian Grand Prix	1	FP3	0 days 00:00:32.515000	0 days 00:00:25.946000	0 days 00:00:38.838000	0 days 00:01:37.299000	0 days 00:00:01.183000	158.449605	171.498396	170.877025	173.362509	98.482	32.67	26.296	39.516	32.515	25.946	38.838	97.299	1.183	977	977	977	977	977	977
0 days 00:42:46.913000	HAR	28	0 days 00:01:35.438000	13.0	3.0			0 days 00:00:31.316000	0 days 00:00:25.559000	0 days 00:00:38.563000	0 days 00:41:42.791000	0 days 00:42:08.350000	0 days 00:42:46.913000	264.0	281.0	287.0	292.0	True	INTERMEDIATE	10.0	True	Toro Rosso	0 days 00:41:11.475000	2018-03-24 03:37:18.649	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:30.355000	0 days 00:00:24.515000	0 days 00:00:38.555000	0 days 00:01:33.425000	0 days 00:00:02.013000	164.041944	174.605251	178.333477	181.440332	95.438	31.316	25.559	38.563	30.355	24.515	38.555	93.425	2.013	977	977	977	977	977	977
0 days 01:03:19.272000	VER	33	0 days 00:01:31.680000	7.0	2.0			0 days 00:00:30.049000	0 days 00:00:24.535000	0 days 00:00:37.096000	0 days 01:02:17.641000	0 days 01:02:42.176000	0 days 01:03:19.272000	269.0	285.0	289.0	300.0	True	INTERMEDIATE	7.0	False	Red Bull Racing	0 days 01:01:47.592000	2018-03-24 03:57:54.766	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:30.049000	0 days 00:00:24.535000	0 days 00:00:37.096000	0 days 00:01:31.680000	0 days 00:00:00	167.148799	177.090735	179.576219	186.4113	91.68	30.049	24.535	37.096	30.049	24.535	37.096	91.68	0.0	977	977	977	977	977	977
0 days 01:00:37.407000	SIR	35	0 days 00:01:35.589000	15.0	3.0			0 days 00:00:31.687000	0 days 00:00:25.439000	0 days 00:00:38.463000	0 days 00:59:33.505000	0 days 00:59:58.944000	0 days 01:00:37.407000	262.0	280.0	282.0	296.0	True	INTERMEDIATE	12.0	False	Williams	0 days 00:59:01.818000	2018-03-24 03:55:08.992	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:31.460000	0 days 00:00:25.439000	0 days 00:00:38.463000	0 days 00:01:35.362000	0 days 00:00:00.227000	162.799202	173.98388	175.226622	183.925816	95.589	31.687	25.439	38.463	31.46	25.439	38.463	95.362	0.227	977	977	977	977	977	977
0 days 00:40:45.211000	HAM	44	0 days 00:01:34.225000	4.0	1.0			0 days 00:00:30.848000	0 days 00:00:25.401000	0 days 00:00:37.976000	0 days 00:39:41.834000	0 days 00:40:07.235000	0 days 00:40:45.211000	268.0	286.0	290.0	303.0	True	INTERMEDIATE	4.0	True	Mercedes	0 days 00:39:10.986000	2018-03-24 03:35:18.160	21.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:30.848000	0 days 00:00:25.253000	0 days 00:00:37.976000	0 days 00:01:34.077000	0 days 00:00:00.148000	166.52742800000001	177.712106	180.19759	188.27541300000001	94.225	30.848	25.401	37.976	30.848	25.253	37.976	94.077	0.148	977	977	977	977	977	977
0 days 01:00:49.641000	SAI	55	0 days 00:01:33.172000	8.0	3.0			0 days 00:00:30.533000	0 days 00:00:25.157000	0 days 00:00:37.482000	0 days 00:59:47.002000	0 days 01:00:12.159000	0 days 01:00:49.641000	262.0	280.0	284.0	291.0	True	INTERMEDIATE	7.0	False	Renault	0 days 00:59:16.469000	2018-03-24 03:55:23.643	1.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:30.533000	0 days 00:00:25.157000	0 days 00:00:37.482000	0 days 00:01:33.172000	0 days 00:00:00	162.799202	173.98388	176.469364	180.818961	93.172	30.533	25.157	37.482	30.533	25.157	37.482	93.172	0.0	977	977	977	977	977	977
0 days 00:40:38.718000	BOT	77	0 days 00:01:34.174000	9.0	2.0			0 days 00:00:31.326000	0 days 00:00:25.150000	0 days 00:00:37.698000	0 days 00:39:35.870000	0 days 00:40:01.020000	0 days 00:40:38.718000	269.0	283.0	289.0	281.0	True	INTERMEDIATE	8.0	True	Mercedes	0 days 00:39:04.544000	2018-03-24 03:35:11.718	21.0		False		False	True	2018	Australian Grand Prix	1	FP3	0 days 00:00:30.265000	0 days 00:00:23.803000	0 days 00:00:37.698000	0 days 00:01:31.766000	0 days 00:00:02.408000	167.148799	175.847993	179.576219	174.605251	94.174	31.326	25.15	37.698	30.265	23.803	37.698	91.766	2.408	977	977	977	977	977	977
0 days 01:07:36.649000	VAN	2	0 days 00:01:33.364000	17.0	4.0			0 days 00:00:29.799000	0 days 00:00:40.258000	0 days 00:00:23.307000	0 days 01:06:33.084000	0 days 01:07:13.342000	0 days 01:07:36.649000	238.0	260.0	281.0	304.0	True	SUPERSOFT	6.0	True	McLaren	0 days 01:06:03.285000	2018-04-06 12:02:12.459	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.703000	0 days 00:00:40.238000	0 days 00:00:23.243000	0 days 00:01:33.184000	0 days 00:00:00.180000	147.886298	161.55646000000002	174.605251	188.896784	93.364	29.799	40.258	23.307	29.703	40.238	23.243	93.184	0.18	978	978	978	978	978	978
