Year	Round	Session	Driver	CleanAirAvg	DirtyAirAvg	Delta	NumCleanLaps	NumDirtyLaps
2025	1	FP1	VER	77.696	79.9775	2.2815000000000083	1	4
2025	1	FP1	HAD	79.5386	80.9918	1.4531999999999954	5	5
2025	1	FP1	DOO	79.141	80.725	1.583999999999989	5	1
2025	1	FP1	GAS	81.08749999999999	83.79599999999999	2.708500000000001	4	2
2025	1	FP1	ANT	81.08959999999999	82.25333333333333	1.1637333333333402	5	3
2025	1	FP1	ALO	78.53880000000001	79.74166666666667	1.2028666666666652	5	3
2025	1	FP1	LEC	77.82433333333334	77.461	-0.3633333333333439	3	1
2025	1	FP1	STR	79.09233333333333	78.59333333333333	-0.4989999999999952	3	3
2025	1	FP1	LAW	79.0125	80.91033333333333	1.897833333333324	2	3
2025	1	FP1	OCO	80.63719999999999	79.818	-0.819199999999995	5	1
2025	1	FP1	HAM	78.23599999999999	79.82300000000001	1.5870000000000175	2	2
2025	1	FP1	RUS	81.38625	78.4265	-2.95975	4	2
2025	1	FP1	PIA	79.371	80.142	0.7710000000000008	3	1
2025	1	FP1	BEA	79.312	80.022	0.710000000000008	1	1
2025	1	FP2	VER	80.19785714285715	80.00800000000001	-0.1898571428571358	7	2
2025	1	FP2	NOR	80.045875	77.671	-2.3748749999999887	8	1
2025	1	FP2	BOR	80.33542857142857	81.72649999999999	1.391071428571422	7	2
2025	1	FP2	HAD	78.756	78.554	-0.2019999999999981	4	1
2025	1	FP2	DOO	81.14946666666667	79.425	-1.7244666666666717	15	1
2025	1	FP2	GAS	80.431625	79.146	-1.285624999999996	8	1
2025	1	FP2	ALO	81.08879999999999	78.512	-2.5767999999999915	10	1
2025	1	FP2	LEC	79.36666666666666	81.665	2.298333333333346	9	1
2025	1	FP2	STR	80.98855555555555	78.858	-2.1305555555555458	9	1
2025	1	FP2	TSU	77.21700000000001	77.949	0.7319999999999851	2	1
2025	1	FP2	ALB	80.13654545454546	81.95	1.813454545454548	11	1
2025	1	FP2	LAW	80.14771428571429	79.172	-0.9757142857142896	7	1
2025	1	FP2	OCO	81.32276923076923	79.576	-1.7467692307692315	13	1
2025	1	FP2	RUS	80.6635	79.93350000000001	-0.7299999999999898	14	2
2025	1	FP2	PIA	78.7445	78.206	-0.5384999999999991	6	1
2025	1	FP1	VER	77.696	80.45060000000001	2.7546000000000106	1	5
2025	1	FP1	HAD	79.5386	80.9918	1.4531999999999954	5	5
2025	1	FP1	DOO	79.141	81.73366666666666	2.592666666666659	5	3
2025	1	FP1	GAS	81.08749999999999	83.05875	1.971250000000012	4	4
2025	1	FP1	ANT	81.08959999999999	82.25333333333333	1.1637333333333402	5	3
2025	1	FP1	ALO	78.53880000000001	79.74166666666667	1.2028666666666652	5	3
2025	1	FP1	LEC	77.82433333333334	78.7365	0.912166666666664	3	2
2025	1	FP1	STR	79.09233333333333	79.761	0.6686666666666667	3	4
