id	name	fullName	countryId	bestChampionshipPosition	bestStartingGridPosition	bestRaceResult	totalChampionshipWins	totalRaceEntries	totalRaceStarts	totalRaceWins	total1And2Finishes	totalRaceLaps	totalPodiums	totalPodiumRaces	totalPoints	totalChampionshipPoints	totalPolePositions	totalFastestLaps	TeamName	Points	constructorRank
mclaren	McLaren	McLaren Racing	united-kingdom	1.0	1.0	1.0	10	995	991	203	56	105516	555	443	8031.5	7706.5	175	183	McLaren	712.0	1
mercedes	Mercedes	Mercedes AMG F1	germany	1.0	1.0	1.0	8	338	338	131	60	38975	308	210	8088.5	8088.5	143	115	Mercedes	363.0	2
red-bull	Red Bull	Red Bull Racing	austria	1.0	1.0	1.0	6	415	414	127	31	44496	294	230	8203.0	8203.0	110	101	Red Bull	334.0	3
ferrari	Ferrari	Scuderia Ferrari	italy	1.0	1.0	1.0	16	1121	1119	248	87	126373	836	639	10995.0	10639.0	254	266	Ferrari	324.0	4
williams	Williams	Williams Grand Prix Engineering	united-kingdom	1.0	1.0	1.0	9	848	847	114	33	87399	313	244	3748.0	3742.0	128	134	Williams	99.0	5
racing-bulls	Racing Bulls	Racing Bulls	italy		3.0	3.0	0	21	21	0	0	2300	1	1	82.0	82.0	0	0	Racing Bulls	78.0	6
aston-martin	Aston Martin	Aston Martin	united-kingdom	5.0	2.0	2.0	0	117	116	0	0	12791	9	9	578.0	578.0	0	3	Aston Martin	65.0	7
haas	Haas	Haas F1 Team	united-states-of-america	5.0	4.0	4.0	0	211	211	0	0	22316	0	0	377.0	377.0	1	3	Haas	64.0	8
kick-sauber	Kick Sauber	Kick Sauber F1 Team	switzerland	10.0	7.0	3.0	0	45	45	0	0	4932	1	1	66.0	66.0	0	0	Kick Sauber	62.0	9
alpine	Alpine	Alpine F1 Team	france	4.0	2.0	1.0	0	111	111	1	0	11937	6	5	535.0	535.0	0	1	Alpine	20.0	10
