short_id	full_id
vandoorne	stoffel-vandoorne
ricciardo	daniel-ricciardo
vettel	sebastian-vettel
raikkonen	kimi-raikkonen
grosjean	romain-grosjean
ericsson	marcus-ericsson
gasly	pierre-gasly
perez	sergio-perez
alonso	fernando-alonso
leclerc	charles-leclerc
stroll	lance-stroll
kevin_magnussen	kevin-magnussen
hulkenberg	nico-hulkenberg
brendon_hartley	brendon-hartley
ocon	esteban-ocon
max_verstappen	max-verstappen
sirotkin	sergey-sirotkin
hamilton	lewis-hamilton
sainz	carlos-sainz-jr
bottas	valtteri-bottas
norris	lando-norris
albon	alexander-albon
kvyat	daniil-kvyat
russell	george-russell
kubica	robert-kubica
giovinazzi	antonio-giovinazzi
latifi	nicholas-latifi
pietro_fittipaldi	pietro-fittipaldi
aitken	jack-aitken
mazepin	nikita-mazepin
tsunoda	yuki-tsunoda
mick_schumacher	mick-schumacher
zhou	guanyu-zhou
de_vries	nyck-de-vries
sargeant	logan-sargeant
piastri	oscar-piastri
lawson	liam-lawson
bearman	oliver-bearman
colapinto	franco-colapinto
doohan	jack-doohan
bortoleto	gabriel-bortoleto
hadjar	isack-hadjar
antonelli	kimi-antonelli
