driverId	driverName	points	driverRank
lando-norris	Lando Norris	106.0	2
max-verstappen	Max Verstappen	93.0	3
george-russell	George Russell	83.0	4
andrea-kimi-antonelli	Andrea Kimi Antonelli	44.0	6
alexander-albon	Alexander Albon	30.0	7
lance-stroll	Lance Stroll	10.0	10
nico-hulkenberg	Nico Hülkenberg	6.0	12
charles-leclerc	Charles Leclerc	49.0	5
oscar-piastri	Oscar Piastri	117.0	1
lewis-hamilton	Lewis Hamilton	27.0	8
pierre-gasly	Pierre Gasly	6.0	12
yuki-tsunoda	Yuki Tsunoda	3.0	16
esteban-ocon	Esteban Ocon	14.0	9
oliver-bearman	Oliver Bearman	6.0	12
liam-lawson	Liam Lawson	0.0	17
gabriel-bortoleto	Gabriel Bortoleto	0.0	17
fernando-alonso	Fernando Alonso	0.0	17
carlos-sainz-jr	Carlos Sainz Jr.	7.0	11
jack-doohan	Jack Doohan	0.0	17
isack-hadjar	Isack Hadjar	5.0	15
