Rank	Constructor	Driver	PredictedFinalPosition
1	Toro Rosso	Alexander Albon	3.957
2	Toro Rosso	Carlos Sainz Jr.	3.957
3	Sauber	Charles Leclerc	3.957
4	Manor	Esteban Ocon	3.957
5	McLaren	Fernando Alonso	3.957
6	Williams	Franco Colapinto	3.957
7	Kick Sauber	Gabriel Bortoleto	3.957
8	Williams	George Russell	3.957
9	Racing Bulls	Isack Hadjar	3.957
10	Mercedes	Kimi Antonelli	3.957
11	Williams	Lance Stroll	3.957
12	McLaren	Lando Norris	3.957
13	AlphaTauri	Liam Lawson	3.957
14	Mercedes	Lewis Hamilton	3.957
15	Toro Rosso	Max Verstappen	3.957
16	Force India	Nico Hülkenberg	3.957
17	McLaren	Oscar Piastri	3.957
18	Ferrari	Oliver Bearman	3.957
19	Toro Rosso	Pierre Gasly	3.957
20	Alpine	Jack Doohan	15.073
