	lastFPPositionNumber	resultsFinalPositionNumber	resultsStartingGridPositionNumber	grandPrixLaps	best_s1_sec	best_s2_sec	best_s2_sec	best_theory_lap_sec	SpeedI1_mph	SpeedI2_mph	SpeedFL_mph	SpeedST_mph	averagePracticePosition	DNF	resultsTop10	resultsTop5	resultsPodium	constructorTotalRaceStarts	constructorTotalRaceWins	constructorTotalPolePositions	turns	positionsGained	q1End	q2End	q3Top10	streetRace	trackRace	driverBestStartingGridPosition	driverBestRaceResult	driverTotalChampionshipWins	driverTotalRaceEntries	driverTotalRaceStarts	driverTotalRaceWins	driverTotalRaceLaps	driverTotalPodiums	driverTotalPolePositions	yearsActive
lastFPPositionNumber	1.0	0.6574701079600492	0.7021740823746542	-0.001243507570799419	0.03457133790716025	0.05152401936757093	0.05152401936757093	0.07654486102649628	-0.057319679945212566	-0.027054429340067184	-0.024425292610919785	-0.013019973781726098	0.8898592386285118	0.06583437973507941	-0.4986696982265451	-0.5342683080455544	-0.45703536741881645	-0.24415794146345113	-0.45198351605173787	-0.4518490221924024	0.001486162339012651	0.1775157407551352	0.5073024120435659	0.18460994894044147	-0.6082802417531137	0.005332864205157742	-0.005574864623662963	0.4575398498880272	0.45642818425369075	-0.3422126232634757	-0.36067249755131947	-0.36192000632555815	-0.38720721082308884	-0.3727740276952745	-0.4356626211144789	-0.40393252408458613	-0.3720682737879155
resultsFinalPositionNumber	0.6574701079600492	1.0	0.7478702694170213	0.0026620627445973796	0.06839665332560052	0.17033484905976948	0.17033484905976948	0.11162893906240243	-0.045771611496850516	-0.027053809641601215	-0.10744524937187387	-0.07705877290009558	0.7194880041160047	0.21743975768289484	-0.851211410384645	-0.7742997863399155	-0.6455812610043199	-0.25243605878579384	-0.48544814396310365	-0.47905814591080514	-0.01168807092744638	-0.1869063057751146	0.5202440384515592	0.22849785955707208	-0.6533523722343849	-0.031028209975213362	0.03163654604725879	0.48101472837473364	0.4914695915602067	-0.3971644196980562	-0.3992252069695403	-0.4009359290483651	-0.44514469978100263	-0.41345538049038116	-0.48762767409677615	-0.45464321976346816	-0.41074680723008117
resultsStartingGridPositionNumber	0.7021740823746542	0.7478702694170213	1.0	-0.00391339345288771	0.04253280997807097	0.07317153205929851	0.07317153205929851	0.0805322573820077	-0.03688714984554707	-0.020934993262395014	-0.022228122835874463	-0.013190732272673766	0.7459806767142766	0.10382883909383274	-0.5755967535029425	-0.5944981797340282	-0.5274470621221238	-0.22398470424064773	-0.4490068900789757	-0.44727702058831326	0.003564063754964135	0.5000301716464862	0.672427052555784	0.2718020124994447	-0.8426496617987577	-0.011268850389396318	0.008339330933586794	0.47588549317735745	0.4717836798655636	-0.35366980007970034	-0.37053406661601845	-0.37207293875846204	-0.40352693529160794	-0.38438412213401935	-0.44984217575217555	-0.4224408333221195	-0.3916981027945059
grandPrixLaps	-0.001243507570799419	0.0026620627445973796	-0.00391339345288771	1.0	-0.9358685349495751	0.0069093596373274845	0.0069093596373274845	-0.7316669182256286	-0.7588857430502226	-0.770229770713206	-0.46975359998778277	-0.7550386257716998	-0.001623106065440638	0.001920423561859109	-8.993995093205162e-05	0.00024272176607056413	0.00014103034255564005	0.00288265977992968	0.00027696521851034036	0.0006856150561359001	-0.35712483525873817	-0.0003112836383997409	0.0006734405052849027	9.580318911749923e-05	0.0004195540491721038	0.07701541842418354	-0.025540966923648423	0.003615364717345549	0.0008915538348288226	-0.0016003168509044238	0.004668221177494145	0.004655754945395604	-0.0013759411200298464	0.004318780298721668	0.000211548266883749	-0.0012751521332244303	-0.002157807693457137
best_s1_sec	0.03457133790716025	0.06839665332560052	0.04253280997807097	-0.9358685349495751	1.0	0.23066872509491074	0.23066872509491074	0.7871971031708519	0.6488964953592637	0.6655863181886981	0.41447287687990525	0.6600428170689538	0.02541780437280526	-0.058864518320667206	-0.022542294565735845	-0.025397738505218308	-0.019751954791847857	-0.024081961752078652	-0.02594742806643072	-0.02527799824647852	0.33755575791489906	-0.017706028866123356	0.03845776957115836	0.007119311187690624	-0.024707478458408653	-0.0723758374138493	0.0723758374138493	0.02735656221773388	0.03743558767122506	-0.009998685486956031	-0.009871308568567333	-0.009926979172004021	-0.012974855245744583	-0.010645853644568107	-0.017144827308553632	-0.014277858079501483	-0.008371181985111985
best_s2_sec	0.05152401936757093	0.17033484905976948	0.07317153205929851	0.0069093596373274845	0.23066872509491074	1.0	1.0	0.5480167577788639	-0.2704068412239919	-0.3126375081608096	-0.6286030188849743	-0.2327725111860529	0.028829675534383134	-0.21935167311684403	-0.03239062968351582	-0.026378871905248517	-0.019499402760657855	-0.023251597017537023	-0.024446052077402167	-0.025218369907149617	0.01230356383164948	-0.10371919909384932	0.06138552669636292	-0.0005682160188179026	-0.03287503899320708	-0.5070453188939557	0.5070453188939554	0.03290955738249228	0.032261737035167784	-0.012440794875790081	-0.025204571652430525	-0.02521915492901704	-0.016151418774484654	-0.025289934603111085	-0.02263721834573239	-0.01675432096001025	-0.02621928772631573
best_s2_sec	0.05152401936757093	0.17033484905976948	0.07317153205929851	0.0069093596373274845	0.23066872509491074	1.0	1.0	0.5480167577788639	-0.2704068412239919	-0.3126375081608096	-0.6286030188849743	-0.2327725111860529	0.028829675534383134	-0.21935167311684403	-0.03239062968351582	-0.026378871905248517	-0.019499402760657855	-0.023251597017537023	-0.024446052077402167	-0.025218369907149617	0.01230356383164948	-0.10371919909384932	0.06138552669636292	-0.0005682160188179026	-0.03287503899320708	-0.5070453188939557	0.5070453188939554	0.03290955738249228	0.032261737035167784	-0.012440794875790081	-0.025204571652430525	-0.02521915492901704	-0.016151418774484654	-0.025289934603111085	-0.02263721834573239	-0.01675432096001025	-0.02621928772631573
best_theory_lap_sec	0.07654486102649628	0.11162893906240243	0.0805322573820077	-0.7316669182256286	0.7871971031708519	0.5480167577788639	0.5480167577788639	1.0	0.3718824410684542	0.31816952394689385	-0.020658215103821223	0.6107031849272249	0.057511817887742414	-0.08498090162752538	-0.05008744664535729	-0.04877919567539814	-0.03956600486123162	-0.04816436474834029	-0.05060720602604372	-0.050075857426583985	0.14358741050969523	0.002698405365231703	0.07736893205017731	0.007506406591104711	-0.05118162462986014	-0.33760186066511466	0.33760186066511494	0.05355371684187301	0.06456240867125664	-0.017445003477342597	-0.025200712534661572	-0.0253042999859192	-0.023521009303305782	-0.026272702281967722	-0.03224192253824786	-0.026190301847295663	-0.026369350234969748
SpeedI1_mph	-0.057319679945212566	-0.045771611496850516	-0.03688714984554707	-0.7588857430502226	0.6488964953592637	-0.2704068412239919	-0.2704068412239919	0.3718824410684542	1.0	0.9079156601103554	0.4759073851274095	0.5419901599852719	-0.055841743488325206	0.032371909664191595	0.03750479298121524	0.020630180391604983	0.015977288952030815	0.04050314432343108	0.03706542539907301	0.039263133786277375	0.21971389026759258	0.029562451482146	-0.03199881420312461	0.013523524796415954	0.02862105027414254	0.20660102607023617	-0.20660102607023623	-0.026117314456446456	-0.017914956857560553	0.008528764098428631	0.02484902402523358	0.02477762938712462	0.012200069700355613	0.024828830535516596	0.019091493010418792	0.01597103031707376	0.028672372185202955
SpeedI2_mph	-0.027054429340067184	-0.027053809641601215	-0.020934993262395014	-0.770229770713206	0.6655863181886981	-0.3126375081608096	-0.3126375081608096	0.31816952394689385	0.9079156601103554	1.0	0.6010318878086721	0.4920714462124311	-0.032533321584259915	0.029264334013877565	0.01853352458910241	0.01226606680749368	0.010747220702462564	0.00924504800000998	0.01086750825475416	0.011398933034247546	0.1677681191407642	0.01809006831590519	-0.0222984406695037	0.005500225429451543	0.017148577125882625	0.033463899595477714	-0.03346389959547767	-0.009878383199788975	0.0002652984700107877	0.006284791624976184	0.012190630262482707	0.01213671710161076	0.007591893606084494	0.011954133344445911	0.008635590026290996	0.008516987923560523	0.01603985113399801
