	raceId	year	totalFinishers	totalParticipants	DNF
0	936	2016	16	22	6
1	937	2016	17	22	5
2	938	2016	22	22	0
3	939	2016	18	22	4
4	940	2016	17	22	5
5	941	2016	15	22	7
6	942	2016	19	22	3
7	943	2016	18	22	4
8	944	2016	20	22	2
9	945	2016	17	22	5
10	946	2016	21	22	1
11	947	2016	20	22	2
12	948	2016	17	22	5
13	949	2016	18	22	4
14	950	2016	18	22	4
15	951	2016	16	22	6
16	952	2016	22	22	0
17	953	2016	18	22	4
18	954	2016	21	22	1
19	955	2016	16	22	6
20	956	2016	17	22	5
21	957	2017	13	20	7
22	958	2017	15	20	5
23	959	2017	14	20	6
24	960	2017	16	20	4
25	961	2017	16	20	4
26	962	2017	15	20	5
27	963	2017	16	20	4
28	964	2017	14	20	6
29	965	2017	16	20	4
30	966	2017	17	20	3
31	967	2017	17	20	3
32	968	2017	17	20	3
33	969	2017	18	20	2
34	970	2017	12	20	8
35	971	2017	18	20	2
36	972	2017	15	20	5
37	973	2017	16	20	4
38	974	2017	15	20	5
39	975	2017	16	20	4
40	976	2017	18	20	2
41	977	2018	15	20	5
42	978	2018	17	20	3
43	979	2018	20	20	0
44	980	2018	14	20	6
45	981	2018	14	20	6
46	982	2018	19	20	1
47	983	2018	17	20	3
48	984	2018	17	20	3
49	985	2018	15	20	5
50	986	2018	15	20	5
51	987	2018	16	20	4
52	988	2018	17	20	3
53	989	2018	15	20	5
54	990	2018	16	20	4
55	991	2018	19	20	1
56	992	2018	18	20	2
57	993	2018	17	20	3
58	994	2018	14	20	6
59	995	2018	16	20	4
60	996	2018	18	20	2
61	997	2018	15	20	5
62	998	2019	17	20	3
63	999	2019	19	20	1
64	1000	2019	18	20	2
65	1001	2019	16	20	4
66	1002	2019	18	20	2
67	1003	2019	19	20	1
68	1004	2019	18	20	2
69	1005	2019	19	20	1
70	1006	2019	20	20	0
71	1007	2019	17	20	3
72	1008	2019	14	20	6
73	1009	2019	19	20	1
74	1010	2019	18	20	2
75	1011	2019	17	20	3
76	1012	2019	17	20	3
77	1013	2019	15	20	5
78	1014	2019	17	20	3
79	1015	2019	18	20	2
80	1016	2019	18	20	2
81	1017	2019	19	20	1
82	1018	2019	19	20	1
83	1019	2020	13	20	7
84	1020	2020	17	20	3
85	1021	2020	19	20	1
86	1022	2020	17	20	3
87	1023	2020	19	20	1
88	1024	2020	19	20	1
89	1025	2020	17	20	3
90	1026	2020	16	20	4
91	1027	2020	12	20	8
92	1028	2020	18	20	2
93	1029	2020	15	20	5
94	1030	2020	19	20	1
95	1031	2020	15	20	5
96	1032	2020	17	20	3
97	1033	2020	18	20	2
98	1034	2020	17	20	3
99	1035	2020	19	20	1
100	1036	2021	18	20	2
101	1037	2021	17	20	3
102	1038	2021	19	20	1
103	1039	2021	19	20	1
104	1040	2021	18	20	2
105	1041	2021	18	20	2
106	1042	2021	20	20	0
107	1043	2021	18	20	2
108	1044	2021	19	20	1
109	1045	2021	18	20	2
110	1046	2021	13	20	7
111	1047	2021	20	20	0
112	1048	2021	18	20	2
113	1049	2021	15	20	5
114	1050	2021	19	20	1
115	1051	2021	20	20	0
116	1052	2021	17	20	3
117	1053	2021	18	20	2
118	1054	2021	18	20	2
119	1055	2021	18	20	2
120	1056	2021	15	20	5
121	1057	2021	15	20	5
122	1058	2022	19	20	1
123	1059	2022	14	20	6
