	session_key	year	circuit_key	circuit_short_name	location	short_date
0	7779	2023	149	Jeddah	Jeddah	2023-03-19
1	7787	2023	10	Melbourne	Melbourne	2023-04-02
2	7953	2023	63	Sakhir	Sakhir	2023-03-05
3	9070	2023	144	Baku	Baku	2023-04-30
4	9078	2023	151	Miami	Miami	2023-05-07
5	9094	2023	22	Monte Carlo	Monaco	2023-05-28
6	9102	2023	15	Catalunya	Barcelona	2023-06-04
7	9110	2023	23	Montreal	Montréal	2023-06-18
8	9118	2023	19	Spielberg	Spielberg	2023-07-02
9	9126	2023	2	Silverstone	Silverstone	2023-07-09
10	9133	2023	4	Hungaroring	Budapest	2023-07-23
11	9141	2023	7	Spa-Francorchamps	Spa-Francorchamps	2023-07-30
12	9149	2023	55	Zandvoort	Zandvoort	2023-08-27
13	9157	2023	39	Monza	Monza	2023-09-03
14	9165	2023	61	Singapore	Marina Bay	2023-09-17
15	9173	2023	46	Suzuka	Suzuka	2023-09-24
16	9181	2023	65	Mexico City	Mexico City	2023-10-29
17	9189	2023	152	Las Vegas	Las Vegas	2023-11-19
18	9197	2023	70	Yas Marina Circuit	Yas Island	2023-11-26
19	9205	2023	14	Interlagos	São Paulo	2023-11-05
20	9213	2023	9	Austin	Austin	2023-10-22
21	9221	2023	150	Lusail	Lusail	2023-10-08
22	9472	2024	63	Sakhir	Sakhir	2024-03-02
23	9480	2024	149	Jeddah	Jeddah	2024-03-09
24	9488	2024	10	Melbourne	Melbourne	2024-03-24
25	9496	2024	46	Suzuka	Suzuka	2024-04-07
26	9507	2024	151	Miami	Miami	2024-05-05
27	9515	2024	6	Imola	Imola	2024-05-19
28	9523	2024	22	Monte Carlo	Monaco	2024-05-26
29	9531	2024	23	Montreal	Montréal	2024-06-09
30	9539	2024	15	Catalunya	Barcelona	2024-06-23
31	9550	2024	19	Spielberg	Spielberg	2024-06-30
32	9558	2024	2	Silverstone	Silverstone	2024-07-07
33	9566	2024	4	Hungaroring	Budapest	2024-07-21
34	9574	2024	7	Spa-Francorchamps	Spa-Francorchamps	2024-07-28
35	9582	2024	55	Zandvoort	Zandvoort	2024-08-25
36	9590	2024	39	Monza	Monza	2024-09-01
37	9598	2024	144	Baku	Baku	2024-09-15
38	9606	2024	61	Singapore	Marina Bay	2024-09-22
39	9617	2024	9	Austin	Austin	2024-10-20
40	9625	2024	65	Mexico City	Mexico City	2024-10-27
41	9636	2024	14	Interlagos	São Paulo	2024-11-03
42	9644	2024	152	Las Vegas	Las Vegas	2024-11-24
43	9655	2024	150	Lusail	Lusail	2024-12-01
44	9662	2024	70	Yas Marina Circuit	Yas Island	2024-12-08
45	9673	2024	49	Shanghai	Shanghai	2024-04-21
