Year,Round,Driver,LapNumber,PitInTime,PitOutTime,LapTime
2023,3,11,1.0,0 days 01:04:13.705000,0 days 01:02:25.722000,0 days 00:02:12.096000
2023,3,11,2.0,0 days 01:06:25.251000,0 days 01:04:31.424000,0 days 00:02:11.789000
2023,3,81,55.0,0 days 02:41:19.185000,0 days 02:39:25.077000,
2023,3,24,55.0,0 days 02:41:46.482000,0 days 02:39:52.030000,
2023,3,22,55.0,0 days 02:41:50.732000,0 days 02:39:53.186000,
2023,3,77,1.0,0 days 01:04:14.643000,0 days 01:02:26.863000,0 days 00:02:17.156000
2023,3,77,54.0,0 days 02:40:43.060000,0 days 02:38:21.937000,
2023,3,77,55.0,0 days 02:54:39.426000,0 days 02:53:02.396000,
2023,3,55,8.0,0 days 01:17:07.009000,0 days 01:14:22.542000,
2023,3,21,55.0,0 days 02:54:46.645000,0 days 02:53:06.599000,
2023,3,2,2.0,0 days 01:06:24.563000,0 days 01:04:30.611000,0 days 00:02:13.100000
2023,3,2,55.0,0 days 02:54:43.754000,0 days 02:53:05.443000,
2023,3,20,8.0,0 days 01:17:25.946000,0 days 01:14:40.995000,
2023,3,63,8.0,0 days 01:16:58.696000,0 days 01:14:19.276000,
2023,6,14,55.0,0 days 02:14:36.873000,0 days 02:12:56.125000,0 days 00:02:06.635000
2023,9,20,1.0,0 days 01:03:15.390000,0 days 01:01:57.672000,0 days 00:01:31.308000
2023,9,20,2.0,0 days 01:05:30.825000,0 days 01:03:41.983000,0 days 00:02:15.420000
2023,9,22,2.0,0 days 01:05:32.981000,0 days 01:04:00.186000,0 days 00:02:02.360000
2023,13,1,64.0,0 days 02:31:50.880000,0 days 02:29:46.945000,0 days 00:02:25.016000
2023,13,11,64.0,0 days 03:12:46.289000,0 days 03:11:05.760000,
2023,13,4,64.0,0 days 03:12:49.336000,0 days 03:11:12.135000,
2023,13,23,64.0,0 days 03:13:02.883000,0 days 03:11:21.400000,
2023,13,81,64.0,0 days 03:13:06.945000,0 days 03:11:23.838000,
2023,13,31,64.0,0 days 03:13:09.898000,0 days 03:11:25.588000,
2023,13,18,64.0,0 days 03:13:17.507000,0 days 03:11:31.525000,
2023,13,27,64.0,0 days 03:13:19.976000,0 days 03:11:33.369000,
2023,13,40,64.0,0 days 03:13:27.914000,0 days 03:11:39.650000,
2023,13,77,64.0,0 days 03:13:22.289000,0 days 03:11:34.947000,
2023,13,22,64.0,0 days 03:13:14.414000,0 days 03:11:28.900000,
2023,13,20,1.0,0 days 01:03:55.646000,0 days 01:02:17.710000,0 days 00:01:51.944000
2023,13,20,64.0,0 days 03:13:31.679000,0 days 03:11:43.181000,
2023,13,63,64.0,0 days 03:12:59.602000,0 days 03:11:18.166000,
2023,16,2,22.0,0 days 01:45:32.408000,0 days 01:43:50.457000,0 days 00:02:17.039000
2023,16,11,13.0,0 days 01:30:49.377000,0 days 01:28:02.755000,
2023,16,11,14.0,0 days 02:13:58.191000,0 days 02:12:15.286000,
2023,16,11,15.0,0 days 02:16:10.704000,0 days 02:14:28.784000,0 days 00:02:12.535000
