year	round	driverId	driverIdNorm	first_lap_position
2010	1	vettel	vettel	1
2010	1	alonso	alonso	2
2010	1	massa	massa	3
2010	1	rosberg	rosberg	4
2010	1	hamilton	hamilton	5
2010	1	michael_schumacher	michael-schumacher	6
2010	1	webber	webber	7
2010	1	button	button	8
2010	1	liuzzi	liuzzi	9
2010	1	barrichello	barrichello	10
2010	1	petrov	petrov	11
2010	1	kobayashi	kobayashi	12
2010	1	hulkenberg	hulkenberg	13
2010	1	rosa	rosa	14
2010	1	alguersuari	alguersuari	15
2010	1	kovalainen	kovalainen	16
2010	1	buemi	buemi	17
2010	1	glock	glock	18
2010	1	grassi	grassi	19
2010	1	trulli	trulli	20
2010	1	kubica	kubica	21
2010	1	sutil	sutil	22
2010	1	bruno_senna	bruno-senna	23
2010	1	chandhok	chandhok	24
2010	2	vettel	vettel	1
2010	2	massa	massa	2
2010	2	webber	webber	3
2010	2	kubica	kubica	4
2010	2	rosberg	rosberg	5
2010	2	button	button	6
2010	2	hamilton	hamilton	7
2010	2	sutil	sutil	8
2010	2	barrichello	barrichello	9
2010	2	petrov	petrov	10
2010	2	rosa	rosa	11
2010	2	liuzzi	liuzzi	12
2010	2	alguersuari	alguersuari	13
2010	2	bruno_senna	bruno-senna	14
2010	2	kovalainen	kovalainen	15
2010	2	chandhok	chandhok	16
2010	2	glock	glock	17
2010	2	alonso	alonso	18
2010	2	grassi	grassi	19
2010	2	michael_schumacher	michael-schumacher	20
2010	3	vettel	vettel	1
2010	3	webber	webber	2
2010	3	rosberg	rosberg	3
2010	3	kubica	kubica	4
2010	3	sutil	sutil	5
2010	3	michael_schumacher	michael-schumacher	6
2010	3	hulkenberg	hulkenberg	7
2010	3	liuzzi	liuzzi	8
2010	3	petrov	petrov	9
2010	3	kobayashi	kobayashi	10
2010	3	alguersuari	alguersuari	11
2010	3	buemi	buemi	12
2010	3	hamilton	hamilton	13
2010	3	massa	massa	14
2010	3	button	button	15
2010	3	alonso	alonso	16
2010	3	trulli	trulli	17
2010	3	glock	glock	18
2010	3	grassi	grassi	19
2010	3	bruno_senna	bruno-senna	20
2010	3	kovalainen	kovalainen	21
2010	3	barrichello	barrichello	22
2010	3	chandhok	chandhok	23
2010	4	alonso	alonso	1
2010	4	webber	webber	2
2010	4	vettel	vettel	3
2010	4	rosberg	rosberg	4
2010	4	button	button	5
2010	4	hamilton	hamilton	6
2010	4	massa	massa	7
2010	4	michael_schumacher	michael-schumacher	8
2010	4	kubica	kubica	9
2010	4	petrov	petrov	10
2010	4	rosa	rosa	11
2010	4	barrichello	barrichello	12
2010	4	trulli	trulli	13
2010	4	kovalainen	kovalainen	14
2010	4	sutil	sutil	15
2010	4	bruno_senna	bruno-senna	16
2010	4	hulkenberg	hulkenberg	17
2010	4	alguersuari	alguersuari	18
2010	4	chandhok	chandhok	19
2010	4	grassi	grassi	20
2010	5	webber	webber	1
2010	5	vettel	vettel	2
2010	5	hamilton	hamilton	3
2010	5	alonso	alonso	4
2010	5	button	button	5
2010	5	michael_schumacher	michael-schumacher	6
2010	5	massa	massa	7
2010	5	sutil	sutil	8
2010	5	alguersuari	alguersuari	9
2010	5	kubica	kubica	10
2010	5	rosberg	rosberg	11
2010	5	barrichello	barrichello	12
2010	5	hulkenberg	hulkenberg	13
2010	5	liuzzi	liuzzi	14
2010	5	trulli	trulli	15
2010	5	kobayashi	kobayashi	16
2010	5	glock	glock	17
2010	5	chandhok	chandhok	18
2010	5	petrov	petrov	19
2010	5	grassi	grassi	20
2010	5	buemi	buemi	21
2010	5	rosa	rosa	22
2010	6	webber	webber	1
2010	6	vettel	vettel	2
2010	6	kubica	kubica	3
2010	6	massa	massa	4
2010	6	hamilton	hamilton	5
2010	6	barrichello	barrichello	6
2010	6	michael_schumacher	michael-schumacher	7
2010	6	rosberg	rosberg	8
2010	6	liuzzi	liuzzi	9
2010	6	sutil	sutil	10
2010	6	button	button	11
2010	6	buemi	buemi	12
2010	6	petrov	petrov	13
2010	6	rosa	rosa	14
2010	6	kobayashi	kobayashi	15
2010	6	alguersuari	alguersuari	16
2010	6	kovalainen	kovalainen	17
2010	6	glock	glock	18
2010	6	trulli	trulli	19
2010	6	grassi	grassi	20
2010	6	bruno_senna	bruno-senna	21
2010	6	chandhok	chandhok	22
2010	6	alonso	alonso	23
2010	7	webber	webber	1
2010	7	hamilton	hamilton	2
2010	7	vettel	vettel	3
2010	7	button	button	4
2010	7	michael_schumacher	michael-schumacher	5
2010	7	rosberg	rosberg	6
2010	7	kubica	kubica	7
2010	7	massa	massa	8
2010	7	petrov	petrov	9
2010	7	kobayashi	kobayashi	10
2010	7	sutil	sutil	11
2010	7	alonso	alonso	12
2010	7	rosa	rosa	13
2010	7	alguersuari	alguersuari	14
2010	7	hulkenberg	hulkenberg	15
2010	7	liuzzi	liuzzi	16
2010	7	trulli	trulli	17
2010	7	kovalainen	kovalainen	18
2010	7	bruno_senna	bruno-senna	19
2010	7	barrichello	barrichello	20
2010	7	glock	glock	21
2010	7	chandhok	chandhok	22
2010	7	grassi	grassi	23
2010	7	buemi	buemi	24
2010	8	hamilton	hamilton	1
2010	8	vettel	vettel	2
2010	8	alonso	alonso	3
2010	8	button	button	4
2010	8	webber	webber	5
2010	8	kubica	kubica	6
2010	8	sutil	sutil	7
2010	8	michael_schumacher	michael-schumacher	8
2010	8	hulkenberg	hulkenberg	9
2010	8	alguersuari	alguersuari	10
2010	8	buemi	buemi	11
2010	8	kovalainen	kovalainen	12
2010	8	rosberg	rosberg	13
2010	8	barrichello	barrichello	14
2010	8	trulli	trulli	15
2010	8	bruno_senna	bruno-senna	16
2010	8	grassi	grassi	17
2010	8	petrov	petrov	18
2010	8	chandhok	chandhok	19
2010	8	glock	glock	20
2010	8	kobayashi	kobayashi	21
2010	8	rosa	rosa	22
2010	8	liuzzi	liuzzi	23
2010	8	massa	massa	24
2010	9	vettel	vettel	1
2010	9	hamilton	hamilton	2
2010	9	alonso	alonso	3
2010	9	massa	massa	4
2010	9	kubica	kubica	5
2010	9	button	button	6
2010	9	barrichello	barrichello	7
2010	9	hulkenberg	hulkenberg	8
2010	9	webber	webber	9
2010	9	buemi	buemi	10
2010	9	michael_schumacher	michael-schumacher	11
2010	9	sutil	sutil	12
2010	9	liuzzi	liuzzi	13
2010	9	rosberg	rosberg	14
2010	9	petrov	petrov	15
2010	9	alguersuari	alguersuari	16
2010	9	rosa	rosa	17
2010	9	kobayashi	kobayashi	18
2010	9	kovalainen	kovalainen	19
2010	9	grassi	grassi	20
2010	9	glock	glock	21
2010	9	chandhok	chandhok	22
2010	9	bruno_senna	bruno-senna	23
2010	9	trulli	trulli	24
2010	10	webber	webber	1
2010	10	hamilton	hamilton	2
2010	10	kubica	kubica	3
2010	10	rosberg	rosberg	4
2010	10	alonso	alonso	5
2010	10	barrichello	barrichello	6
2010	10	michael_schumacher	michael-schumacher	7
2010	10	button	button	8
2010	10	kobayashi	kobayashi	9
2010	10	sutil	sutil	10
2010	10	rosa	rosa	11
2010	10	petrov	petrov	12
2010	10	hulkenberg	hulkenberg	13
2010	10	buemi	buemi	14
2010	10	alguersuari	alguersuari	15
2010	10	trulli	trulli	16
2010	10	kovalainen	kovalainen	17
2010	10	glock	glock	18
2010	10	liuzzi	liuzzi	19
2010	10	grassi	grassi	20
2010	10	chandhok	chandhok	21
2010	10	yamamoto	yamamoto	22
2010	10	massa	massa	23
2010	10	vettel	vettel	24
2010	11	massa	massa	1
2010	11	alonso	alonso	2
2010	11	vettel	vettel	3
2010	11	hamilton	hamilton	4
2010	11	webber	webber	5
2010	11	button	button	6
2010	11	kubica	kubica	7
2010	11	michael_schumacher	michael-schumacher	8
2010	11	rosberg	rosberg	9
2010	11	kobayashi	kobayashi	10
2010	11	barrichello	barrichello	11
2010	11	petrov	petrov	12
2010	11	hulkenberg	hulkenberg	13
2010	11	rosa	rosa	14
2010	11	trulli	trulli	15
2010	11	kovalainen	kovalainen	16
2010	11	grassi	grassi	17
2010	11	bruno_senna	bruno-senna	18
2010	11	sutil	sutil	19
2010	11	yamamoto	yamamoto	20
2010	11	glock	glock	21
2010	11	liuzzi	liuzzi	22
2010	11	buemi	buemi	23
2010	11	alguersuari	alguersuari	24
2010	12	vettel	vettel	1
