Round	Year	raceId	grandPrixId	SafetyCarStatus_deployed	SafetyCarStatus_unique	redFlag	redFlag_unique	yellowFlag	yellowFlag_unique	doubleYellowFlag	doubleYellowFlag_unique
1	2018	977	australia	2	2	0	6	9	6	5	6
1	2019	998	australia	0	0	0	5	2	5	0	5
1	2020	1019	austria	3	3	0	6	9	6	6	6
1	2021	1036	bahrain	2	3	0	6	5	6	1	6
1	2022	1058	bahrain	2	2	0	6	1	6	2	6
1	2023	1080	bahrain	1	2	0	6	4	6	0	6
1	2024	1102	bahrain	0	0	0	7	1	7	2	7
2	2018	978	bahrain	1	2	0	6	5	6	10	6
2	2019	999	bahrain	1	1	0	6	11	6	11	6
2	2020	1020	styria	1	2	0	5	2	5	0	5
2	2021	1037	emilia-romagna	2	3	1	8	16	8	1	8
2	2022	1059	saudi-arabia	3	3	0	6	2	6	7	6
2	2023	1081	saudi-arabia	1	2	0	7	3	7	2	7
2	2024	1103	saudi-arabia	1	2	0	7	2	7	1	7
3	2018	979	china	1	2	0	6	2	6	4	6
3	2019	1000	china	1	2	0	5	1	5	0	5
3	2020	1021	hungary	0	0	0	6	4	6	1	6
3	2021	1038	portugal	1	3	0	4	0	4	0	4
3	2022	1060	australia	4	3	0	6	3	6	5	6
3	2023	1082	australia	4	3	4	7	8	7	4	7
3	2024	1104	australia	2	2	0	6	5	6	8	6
4	2018	980	azerbaijan	2	3	0	6	12	6	10	6
4	2019	1001	azerbaijan	1	2	0	6	2	6	10	6
4	2020	1022	great-britain	2	2	0	6	5	6	3	6
4	2021	1039	spain	1	2	0	6	1	6	1	6
4	2022	1061	emilia-romagna	1	2	0	7	3	7	3	7
4	2023	1083	azerbaijan	1	2	0	6	7	6	5	6
4	2024	1105	japan	0	0	1	7	4	7	1	7
5	2018	981	spain	2	3	0	6	5	6	3	6
5	2019	1002	spain	1	2	0	6	4	6	2	6
5	2020	1023	70th-anniversary	0	0	0	6	1	6	3	6
5	2021	1040	monaco	0	0	0	4	0	4	0	4
5	2022	1062	miami	2	2	0	7	4	7	2	7
