feature,issue,target,value,value2,metric_name,explanation,delta,note
raceId_results,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsDriverName,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsPodium,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsTop5,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsTop10,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsYear,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsStartingGridPositionNumber,name_pattern,,,,name_pattern,matched_pattern=result,,result
constructorId_results,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsReasonRetired,name_pattern,,,,name_pattern,matched_pattern=result,,result
constructorTotalRaceEntries,name_pattern,,,,name_pattern,matched_pattern=total,,total
constructorTotalRaceStarts,name_pattern,,,,name_pattern,matched_pattern=total,,total
constructorTotalRaceWins,name_pattern,,,,name_pattern,matched_pattern=total,,total
constructorTotal1And2Finishes,name_pattern,,,,name_pattern,matched_pattern=total,,total
constructorTotalPodiumRaces,name_pattern,,,,name_pattern,matched_pattern=total,,total
driverBestRaceResult,name_pattern,,,,name_pattern,matched_pattern=result,,result
driverTotalChampionshipWins,name_pattern,,,,name_pattern,matched_pattern=total,,total
driverTotalRaceEntries,name_pattern,,,,name_pattern,matched_pattern=total,,total
driverTotalRaceStarts,name_pattern,,,,name_pattern,matched_pattern=total,,total
driverTotalRaceWins,name_pattern,,,,name_pattern,matched_pattern=total,,total
driverTotalRaceLaps,name_pattern,,,,name_pattern,matched_pattern=total,,total
driverTotalPodiums,name_pattern,,,,name_pattern,matched_pattern=total,,total
constructorTotalPolePositions,name_pattern,,,,name_pattern,matched_pattern=total,,total
constructorTotalFastestLaps,name_pattern,,,,name_pattern,matched_pattern=total,,total
timeMillis_results,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsQualificationPositionNumber,name_pattern,,,,name_pattern,matched_pattern=result,,result
resultsDriverId,name_pattern,,,,name_pattern,matched_pattern=result,,result
driverTotalPolePositions,name_pattern,,,,name_pattern,matched_pattern=total,,total
resultsFinalPositionNumber,name_pattern,,,,name_pattern,matched_pattern=final,,final
totalStopTime,name_pattern,,,,name_pattern,matched_pattern=total,,total
avg_final_position_per_track,name_pattern,,,,name_pattern,matched_pattern=final,,final
last_final_position_per_track,name_pattern,,,,name_pattern,matched_pattern=final,,final
avg_final_position_per_track_constructor,name_pattern,,,,name_pattern,matched_pattern=final,,final
last_final_position_per_track_constructor,name_pattern,,,,name_pattern,matched_pattern=final,,final
total_experience,name_pattern,,,,name_pattern,matched_pattern=total,,total
qual_to_final_delta_5yr,name_pattern,,,,name_pattern,matched_pattern=final,,final
qual_to_final_delta_3yr,name_pattern,,,,name_pattern,matched_pattern=final,,final
driver_constructor_avg_final_position,name_pattern,,,,name_pattern,matched_pattern=final,,final
avg_final_position_per_track_bin,name_pattern,,,,name_pattern,matched_pattern=final,,final
avg_final_position_per_track_constructor_bin,name_pattern,,,,name_pattern,matched_pattern=final,,final
qual_to_final_delta_5yr_bin,name_pattern,,,,name_pattern,matched_pattern=final,,final
qual_to_final_delta_3yr_bin,name_pattern,,,,name_pattern,matched_pattern=final,,final
total_experience_bin,name_pattern,,,,name_pattern,matched_pattern=total,,total
driver_constructor_avg_final_position_bin,name_pattern,,,,name_pattern,matched_pattern=final,,final
fp2Interval,lagged_corr_suspicious,resultsFinalPositionNumber,-0.17543607089006313,0.060191372763641206,corr_current_vs_next,"corr_current=-0.1754,corr_next=0.0602,delta=0.2356",0.23562744365370433,
resultsPodium,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3381287975955289,-0.06346378003075052,corr_current_vs_next,"corr_current=-0.3381,corr_next=-0.0635,delta=0.2747",0.27466501756477835,
resultsTop5,lagged_corr_suspicious,resultsFinalPositionNumber,-0.6954596698885168,-0.22005126109187248,corr_current_vs_next,"corr_current=-0.6955,corr_next=-0.2201,delta=0.4754",0.47540840879664437,
resultsTop10,lagged_corr_suspicious,resultsFinalPositionNumber,-0.8616602199439318,-0.26067179639388355,corr_current_vs_next,"corr_current=-0.8617,corr_next=-0.2607,delta=0.6010",0.6009884235500482,
positionsGained,lagged_corr_suspicious,resultsFinalPositionNumber,-0.4161463327769654,0.10460888428140513,corr_current_vs_next,"corr_current=-0.4161,corr_next=0.1046,delta=0.5208",0.5207552170583705,
constructorTotalRaceWins,lagged_corr_suspicious,resultsFinalPositionNumber,-0.2975009082311013,-0.1933051781424291,corr_current_vs_next,"corr_current=-0.2975,corr_next=-0.1933,delta=0.1042",0.10419573008867222,
round,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3528475203035331,-0.17478177196679962,corr_current_vs_next,"corr_current=-0.3528,corr_next=-0.1748,delta=0.1781",0.1780657483367335,
turns,lagged_corr_suspicious,resultsFinalPositionNumber,-0.139778417166358,0.22609478653666096,corr_current_vs_next,"corr_current=-0.1398,corr_next=0.2261,delta=0.3659",0.36587320370301896,
streetRace,lagged_corr_suspicious,resultsFinalPositionNumber,0.18951279630061732,0.3055874976106819,corr_current_vs_next,"corr_current=0.1895,corr_next=0.3056,delta=0.1161",0.11607470131006456,
avgLapPace,lagged_corr_suspicious,resultsFinalPositionNumber,-0.25024198517317875,0.07803986564595679,corr_current_vs_next,"corr_current=-0.2502,corr_next=0.0780,delta=0.3283",0.3282818508191355,
finishingTime,lagged_corr_suspicious,resultsFinalPositionNumber,-0.23075621885587516,-0.05097237592222933,corr_current_vs_next,"corr_current=-0.2308,corr_next=-0.0510,delta=0.1798",0.17978384293364583,
timeMillis_results,lagged_corr_suspicious,resultsFinalPositionNumber,-0.23075621885587516,-0.05097237592222928,corr_current_vs_next,"corr_current=-0.2308,corr_next=-0.0510,delta=0.1798",0.17978384293364588,
bestQualifyingTime,lagged_corr_suspicious,resultsFinalPositionNumber,-0.19259432361214682,0.16081595237509225,corr_current_vs_next,"corr_current=-0.1926,corr_next=0.1608,delta=0.3534",0.35341027598723906,
LapTime_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.1263955032076844,0.24655497563637097,corr_current_vs_next,"corr_current=-0.1264,corr_next=0.2466,delta=0.3730",0.37295047884405536,
best_s2_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.2566298257933986,0.18422953207116055,corr_current_vs_next,"corr_current=-0.2566,corr_next=0.1842,delta=0.4409",0.44085935786455915,
best_s3_sec,lagged_corr_suspicious,resultsFinalPositionNumber,0.116110452447949,0.34994950641169215,corr_current_vs_next,"corr_current=0.1161,corr_next=0.3499,delta=0.2338",0.23383905396374316,
best_theory_lap_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.1270359894744047,0.24734581475310893,corr_current_vs_next,"corr_current=-0.1270,corr_next=0.2473,delta=0.3744",0.37438180422751366,
recent_form_3_races,lagged_corr_suspicious,resultsFinalPositionNumber,0.21489881766971455,0.3361421664303556,corr_current_vs_next,"corr_current=0.2149,corr_next=0.3361,delta=0.1212",0.12124334876064105,
courseLength,lagged_corr_suspicious,resultsFinalPositionNumber,-0.10633163565727533,0.11849455146208397,corr_current_vs_next,"corr_current=-0.1063,corr_next=0.1185,delta=0.2248",0.2248261871193593,
CleanAirAvg_FP1,lagged_corr_suspicious,resultsFinalPositionNumber,-0.13360312051233025,0.2680025839197693,corr_current_vs_next,"corr_current=-0.1336,corr_next=0.2680,delta=0.4016",0.40160570443209953,
DirtyAirAvg_FP1,lagged_corr_suspicious,resultsFinalPositionNumber,-0.09586095266528363,0.3062259224746579,corr_current_vs_next,"corr_current=-0.0959,corr_next=0.3062,delta=0.4021",0.40208687513994157,
CleanAirAvg_FP2,lagged_corr_suspicious,resultsFinalPositionNumber,-0.12613841628322145,0.2670139096207749,corr_current_vs_next,"corr_current=-0.1261,corr_next=0.2670,delta=0.3932",0.3931523259039964,
DirtyAirAvg_FP2,lagged_corr_suspicious,resultsFinalPositionNumber,-0.16966025541832364,0.2488780727771947,corr_current_vs_next,"corr_current=-0.1697,corr_next=0.2489,delta=0.4185",0.41853832819551834,
Delta_FP2,lagged_corr_suspicious,resultsFinalPositionNumber,-0.34465714950042153,-0.14607239745709538,corr_current_vs_next,"corr_current=-0.3447,corr_next=-0.1461,delta=0.1986",0.19858475204332615,
CleanAirAvg_FP3,lagged_corr_suspicious,resultsFinalPositionNumber,-0.11441233312192264,0.29284585267128654,corr_current_vs_next,"corr_current=-0.1144,corr_next=0.2928,delta=0.4073",0.40725818579320916,
DirtyAirAvg_FP3,lagged_corr_suspicious,resultsFinalPositionNumber,-0.10893588633104964,0.2705237591990051,corr_current_vs_next,"corr_current=-0.1089,corr_next=0.2705,delta=0.3795",0.37945964553005473,
q1_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.18808037447348672,0.1254600033522445,corr_current_vs_next,"corr_current=-0.1881,corr_next=0.1255,delta=0.3135",0.3135403778257312,
q2_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.24992792526510318,0.1460040690220434,corr_current_vs_next,"corr_current=-0.2499,corr_next=0.1460,delta=0.3959",0.3959319942871466,
q3_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.4520445734463504,0.25557888669544715,corr_current_vs_next,"corr_current=-0.4520,corr_next=0.2556,delta=0.7076",0.7076234601417976,
driverFastestPracticeLap_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.1392104828894024,0.27299460284105864,corr_current_vs_next,"corr_current=-0.1392,corr_next=0.2730,delta=0.4122",0.41220508573046105,
BestConstructorPracticeLap_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.1271324845416355,0.28667241044169317,corr_current_vs_next,"corr_current=-0.1271,corr_next=0.2867,delta=0.4138",0.4138048949833287,
best_qual_time,lagged_corr_suspicious,resultsFinalPositionNumber,-0.187388900916001,0.16430301088282864,corr_current_vs_next,"corr_current=-0.1874,corr_next=0.1643,delta=0.3517",0.35169191179882964,
bestQualifyingTime_sec,lagged_corr_suspicious,resultsFinalPositionNumber,-0.187388900916001,0.16430301088282864,corr_current_vs_next,"corr_current=-0.1874,corr_next=0.1643,delta=0.3517",0.35169191179882964,
practice_position_improvement_1P_2P,lagged_corr_suspicious,resultsFinalPositionNumber,-0.13574601815878168,0.23178468324363463,corr_current_vs_next,"corr_current=-0.1357,corr_next=0.2318,delta=0.3675",0.3675307014024163,
practice_position_improvement_1P_3P,lagged_corr_suspicious,resultsFinalPositionNumber,0.028723790784150254,0.2970864620317776,corr_current_vs_next,"corr_current=0.0287,corr_next=0.2971,delta=0.2684",0.2683626712476273,
practice_time_improvement_time_time,lagged_corr_suspicious,resultsFinalPositionNumber,0.006868947478956452,0.21115107950536222,corr_current_vs_next,"corr_current=0.0069,corr_next=0.2112,delta=0.2043",0.20428213202640577,
practice_time_improvement_2T_3T,lagged_corr_suspicious,resultsFinalPositionNumber,-0.008207440861044324,0.25744221444148474,corr_current_vs_next,"corr_current=-0.0082,corr_next=0.2574,delta=0.2656",0.26564965530252904,
practice_time_improvement_1T_3T,lagged_corr_suspicious,resultsFinalPositionNumber,0.006868947478956452,0.21115107950536222,corr_current_vs_next,"corr_current=0.0069,corr_next=0.2112,delta=0.2043",0.20428213202640577,
recent_vs_season,lagged_corr_suspicious,resultsFinalPositionNumber,0.21489881766971455,0.33614216643035555,corr_current_vs_next,"corr_current=0.2149,corr_next=0.3361,delta=0.1212",0.121243348760641,
practice_improvement,lagged_corr_suspicious,resultsFinalPositionNumber,0.04673206902490542,0.26452492098518643,corr_current_vs_next,"corr_current=0.0467,corr_next=0.2645,delta=0.2178",0.217792851960281,
grid_penalty_x_constructor,lagged_corr_suspicious,resultsFinalPositionNumber,-0.17230219147711826,-0.05021680533847708,corr_current_vs_next,"corr_current=-0.1723,corr_next=-0.0502,delta=0.1221",0.12208538613864117,
recent_form_median_3_races,lagged_corr_suspicious,resultsFinalPositionNumber,0.22816745381863585,0.345388985125974,corr_current_vs_next,"corr_current=0.2282,corr_next=0.3454,delta=0.1172",0.11722153130733814,
recent_form_median_5_races,lagged_corr_suspicious,resultsFinalPositionNumber,0.2004929792702823,0.32405703945615755,corr_current_vs_next,"corr_current=0.2005,corr_next=0.3241,delta=0.1236",0.12356406018587524,
recent_form_worst_3_races,lagged_corr_suspicious,resultsFinalPositionNumber,0.15426376230799216,0.2982950583260589,corr_current_vs_next,"corr_current=0.1543,corr_next=0.2983,delta=0.1440",0.14403129601806675,
qual_gap_to_teammate,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3688312349423742,-0.267333130103582,corr_current_vs_next,"corr_current=-0.3688,corr_next=-0.2673,delta=0.1015",0.10149810483879218,
recent_form_ratio,lagged_corr_suspicious,resultsFinalPositionNumber,-0.12233449507234757,0.40822306777600426,corr_current_vs_next,"corr_current=-0.1223,corr_next=0.4082,delta=0.5306",0.5305575628483519,
podium_potential,lagged_corr_suspicious,resultsFinalPositionNumber,-0.2975009082311013,-0.1933051781424291,corr_current_vs_next,"corr_current=-0.2975,corr_next=-0.1933,delta=0.1042",0.10419573008867222,
street_experience,lagged_corr_suspicious,resultsFinalPositionNumber,0.18951279630061726,0.3055874976106819,corr_current_vs_next,"corr_current=0.1895,corr_next=0.3056,delta=0.1161",0.11607470131006462,
last_race_vs_track_avg,lagged_corr_suspicious,resultsFinalPositionNumber,-0.16864664842425856,0.1447292447027448,corr_current_vs_next,"corr_current=-0.1686,corr_next=0.1447,delta=0.3134",0.31337589312700337,
positions_gained_first_lap_pct,lagged_corr_suspicious,resultsFinalPositionNumber,-0.23162776553047484,0.16424851408798807,corr_current_vs_next,"corr_current=-0.2316,corr_next=0.1642,delta=0.3959",0.39587627961846295,
top_speed_x_turns,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3015557234103564,-0.08654908351700863,corr_current_vs_next,"corr_current=-0.3016,corr_next=-0.0865,delta=0.2150",0.21500663989334778,
grid_penalty_x_constructor_rank,lagged_corr_suspicious,resultsFinalPositionNumber,-0.23709438166040198,-0.08153692407228648,corr_current_vs_next,"corr_current=-0.2371,corr_next=-0.0815,delta=0.1556",0.1555574575881155,
constructor_podium_ratio,lagged_corr_suspicious,resultsFinalPositionNumber,-0.5735532122266452,-0.47169220725400024,corr_current_vs_next,"corr_current=-0.5736,corr_next=-0.4717,delta=0.1019",0.101861004972645,
recent_podium_streak,lagged_corr_suspicious,resultsFinalPositionNumber,-0.014005379098559126,0.22008298379065314,corr_current_vs_next,"corr_current=-0.0140,corr_next=0.2201,delta=0.2341",0.23408836288921225,
constructor_recent_win_streak,lagged_corr_suspicious,resultsFinalPositionNumber,-0.07902405591979814,0.027397541143102867,corr_current_vs_next,"corr_current=-0.0790,corr_next=0.0274,delta=0.1064",0.106421597062901,
practice_improvement_rate,lagged_corr_suspicious,resultsFinalPositionNumber,-0.021818812040761814,0.35533981900573364,corr_current_vs_next,"corr_current=-0.0218,corr_next=0.3553,delta=0.3772",0.37715863104649544,
driver_qual_improvement_3r,lagged_corr_suspicious,resultsFinalPositionNumber,-0.0029384332373027784,0.108791754372129,corr_current_vs_next,"corr_current=-0.0029,corr_next=0.1088,delta=0.1117",0.11173018760943178,
constructor_qual_improvement_3r,lagged_corr_suspicious,resultsFinalPositionNumber,-0.00444692759388966,0.19226876892018743,corr_current_vs_next,"corr_current=-0.0044,corr_next=0.1923,delta=0.1967",0.19671569651407708,
driver_constructor_podium_rate,lagged_corr_suspicious,resultsFinalPositionNumber,-0.569599641239043,-0.4656661217133454,corr_current_vs_next,"corr_current=-0.5696,corr_next=-0.4657,delta=0.1039",0.10393351952569763,
constructor_dnf_rate_3_races,lagged_corr_suspicious,resultsFinalPositionNumber,-0.08794042702383484,0.049210080100673945,corr_current_vs_next,"corr_current=-0.0879,corr_next=0.0492,delta=0.1372",0.13715050712450877,
constructor_dnf_rate_5_races,lagged_corr_suspicious,resultsFinalPositionNumber,-0.013544039764240814,0.1339597815872142,corr_current_vs_next,"corr_current=-0.0135,corr_next=0.1340,delta=0.1475",0.147503821351455,
qual_vs_constructor_avg_at_track,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3701116412288466,-0.26779160574239336,corr_current_vs_next,"corr_current=-0.3701,corr_next=-0.2678,delta=0.1023",0.10232003548645324,
constructor_practice_improvement_rate,lagged_corr_suspicious,resultsFinalPositionNumber,-0.1284384713166177,0.0153764352640918,corr_current_vs_next,"corr_current=-0.1284,corr_next=0.0154,delta=0.1438",0.1438149065807095,
practice_qual_consistency_5r,lagged_corr_suspicious,resultsFinalPositionNumber,-0.1272890652894812,0.058346184785080475,corr_current_vs_next,"corr_current=-0.1273,corr_next=0.0583,delta=0.1856",0.18563525007456166,
constructor_qual_consistency_5r,lagged_corr_suspicious,resultsFinalPositionNumber,-0.30397559756526593,-0.13312694931307403,corr_current_vs_next,"corr_current=-0.3040,corr_next=-0.1331,delta=0.1708",0.1708486482521919,
practice_lap_time_improvement_rate,lagged_corr_suspicious,resultsFinalPositionNumber,0.006868947478956452,0.21115107950536222,corr_current_vs_next,"corr_current=0.0069,corr_next=0.2112,delta=0.2043",0.20428213202640577,
practice_improvement_vs_field_avg,lagged_corr_suspicious,resultsFinalPositionNumber,0.012541099795859226,0.28897963695470363,corr_current_vs_next,"corr_current=0.0125,corr_next=0.2890,delta=0.2764",0.2764385371588444,
constructor_podium_rate_at_track,lagged_corr_suspicious,resultsFinalPositionNumber,-0.6045250755255643,-0.27141488930142965,corr_current_vs_next,"corr_current=-0.6045,corr_next=-0.2714,delta=0.3331",0.3331101862241347,
qual_vs_constructor_avg,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3647893106353858,-0.2384913643676146,corr_current_vs_next,"corr_current=-0.3648,corr_next=-0.2385,delta=0.1263",0.1262979462677712,
practice_improvement_vs_teammate,lagged_corr_suspicious,resultsFinalPositionNumber,0.07339129509452567,0.25048413578140283,corr_current_vs_next,"corr_current=0.0734,corr_next=0.2505,delta=0.1771",0.17709284068687714,
practice_lap_time_delta_to_constructor_best,lagged_corr_suspicious,resultsFinalPositionNumber,-0.1023024412290072,0.036162866684313406,corr_current_vs_next,"corr_current=-0.1023,corr_next=0.0362,delta=0.1385",0.1384653079133206,
qualifying_position_vs_teammate_historical,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3701116412288466,-0.26779160574239336,corr_current_vs_next,"corr_current=-0.3701,corr_next=-0.2678,delta=0.1023",0.10232003548645324,
practice_improvement_vs_constructor_historical,lagged_corr_suspicious,resultsFinalPositionNumber,0.05201553298298748,0.2566848685854589,corr_current_vs_next,"corr_current=0.0520,corr_next=0.2567,delta=0.2047",0.20466933560247144,
qualifying_position_vs_constructor_worst_at_track,lagged_corr_suspicious,resultsFinalPositionNumber,0.06206426739936583,0.17360839004309372,corr_current_vs_next,"corr_current=0.0621,corr_next=0.1736,delta=0.1115",0.1115441226437279,
qualifying_position_vs_constructor_median_at_track,lagged_corr_suspicious,resultsFinalPositionNumber,-0.4520337912662533,-0.31229824274410234,corr_current_vs_next,"corr_current=-0.4520,corr_next=-0.3123,delta=0.1397",0.13973554852215098,
podium_form_3_races,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3569688619770184,-0.01260644419559955,corr_current_vs_next,"corr_current=-0.3570,corr_next=-0.0126,delta=0.3444",0.34436241778141885,
recent_qualifying_improvement_trend,lagged_corr_suspicious,resultsFinalPositionNumber,0.14006507557936057,0.24508965497408644,corr_current_vs_next,"corr_current=0.1401,corr_next=0.2451,delta=0.1050",0.10502457939472587,
driver_performance_at_circuit_type,lagged_corr_suspicious,resultsFinalPositionNumber,0.09792283463955107,0.2042831917624881,corr_current_vs_next,"corr_current=0.0979,corr_next=0.2043,delta=0.1064",0.10636035712293704,
overtaking_difficulty_index,lagged_corr_suspicious,resultsFinalPositionNumber,-0.0920977807361888,0.15071739581832594,corr_current_vs_next,"corr_current=-0.0921,corr_next=0.1507,delta=0.2428",0.24281517655451473,
qualifying_position_vs_race_pace_delta_by_track,lagged_corr_suspicious,resultsFinalPositionNumber,-0.24170462271674126,0.0950132363890788,corr_current_vs_next,"corr_current=-0.2417,corr_next=0.0950,delta=0.3367",0.3367178591058201,
practice_improvement_vs_teammate_bin,lagged_corr_suspicious,resultsFinalPositionNumber,0.019014570797923097,0.12554342952946973,corr_current_vs_next,"corr_current=0.0190,corr_next=0.1255,delta=0.1065",0.10652885873154663,
qualifying_position_vs_teammate_historical_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.37421326083909934,-0.21496106770888154,corr_current_vs_next,"corr_current=-0.3742,corr_next=-0.2150,delta=0.1593",0.1592521931302178,
practice_position_vs_constructor_worst_at_track_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.16236203882867017,-0.04632867066676247,corr_current_vs_next,"corr_current=-0.1624,corr_next=-0.0463,delta=0.1160",0.11603336816190771,
practice_improvement_vs_field_avg_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.13486713379029658,0.2624046864638211,corr_current_vs_next,"corr_current=-0.1349,corr_next=0.2624,delta=0.3973",0.39727182025411767,
practice_improvement_rate_bin,lagged_corr_suspicious,resultsFinalPositionNumber,0.002179269961800511,0.24827260396368878,corr_current_vs_next,"corr_current=0.0022,corr_next=0.2483,delta=0.2461",0.24609333400188826,
practice_lap_time_delta_to_constructor_best_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.00796148835872587,0.1337798556577431,corr_current_vs_next,"corr_current=-0.0080,corr_next=0.1338,delta=0.1417",0.14174134401646898,
qualifying_lap_time_delta_to_constructor_best_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.16301371965410882,0.05546713518913249,corr_current_vs_next,"corr_current=-0.1630,corr_next=0.0555,delta=0.2185",0.2184808548432413,
