Year,Round,Event,Circuit,Driver,Abbreviation,LapNumber,PitInTime,PitOutTime,PitTime,PitLaneTimeConstant,StationaryTime,StationaryTimeTypical
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,NOR,NOR,3.0,4698.691,4550.143,-148.54799999999977,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,NOR,NOR,4.0,4854.69,4711.544,-143.14599999999973,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,VER,VER,3.0,4700.223,4551.658,-148.5649999999996,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,VER,VER,4.0,4856.543,4714.029,-142.5139999999992,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,RUS,RUS,3.0,4703.749,4555.644,-148.10499999999956,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,RUS,RUS,4.0,4860.668,4717.95,-142.71799999999985,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,ANT,ANT,3.0,4723.529,4576.265,-147.26400000000012,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,ANT,ANT,4.0,4881.148,4739.964,-141.1840000000002,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,ALB,ALB,3.0,4711.238,4563.745,-147.4930000000004,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,ALB,ALB,4.0,4867.775,4728.304,-139.47099999999955,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,STR,STR,3.0,4720.02,4573.028,-146.9920000000002,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,STR,STR,4.0,4877.105,4736.155,-140.94999999999982,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,HUL,HUL,3.0,4721.76,4574.73,-147.03000000000065,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,HUL,HUL,4.0,4879.33,4737.772,-141.558,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,LEC,LEC,3.0,4706.003,4558.544,-147.45899999999983,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,LEC,LEC,4.0,4862.246,4720.624,-141.6220000000003,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,PIA,PIA,3.0,4701.675,4553.106,-148.56900000000041,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,PIA,PIA,4.0,4858.263,4715.632,-142.6310000000003,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,HAM,HAM,3.0,4713.93,4565.978,-147.95200000000023,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,HAM,HAM,4.0,4869.633,4730.272,-139.36099999999988,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,GAS,GAS,3.0,4716.076,4568.591,-147.48499999999967,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,GAS,GAS,4.0,4872.398,4731.914,-140.48400000000038,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,TSU,TSU,3.0,4709.345,4561.53,-147.8150000000005,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,TSU,TSU,4.0,4866.137,4724.49,-141.64699999999993,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,OCO,OCO,3.0,4727.469,4579.513,-147.95600000000013,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,OCO,OCO,4.0,4885.943,4744.029,-141.91399999999976,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,BEA,BEA,3.0,4731.042,4583.18,-147.86200000000008,,,2.5
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,BEA,BEA,4.0,4890.664,4747.407,-143.2569999999996,,,2.5
