Year	Round	raceId	Driver	driverId	LapTime_sec	best_s1_sec	best_s2_sec	best_s3_sec	FastestPracticeLap_sec	SpeedI1_mph	SpeedI2_mph	SpeedFL_mph	SpeedST_mph	best_theory_lap_sec	Session
2018	1	977.0	ALO	fernando-alonso	85.2	28.165	23.068	33.847	85.2		179.576219		145.400814	85.08	FP2
2018	1	977.0	BOT	valtteri-bottas	84.159	27.725	22.933	33.498	84.159	172.119767	179.576219	182.061703	192.62501	84.156	FP2
2018	1	977.0	ERI	marcus-ericsson	86.814	28.432	23.478	34.873	86.814	172.741138	181.440332	182.061703	193.867752	86.783	FP2
2018	1	977.0	GAS	pierre-gasly	85.945	28.142	23.117	34.373	85.945	172.119767	180.19759	180.19759	192.62501	85.632	FP2
2018	1	977.0	GRO	romain-grosjean	84.648	28.004	23.063	33.581	84.648	173.98388	179.576219	182.683074	193.246381	84.648	FP2
2018	1	977.0	HAM	lewis-hamilton	83.931	27.595	22.946	33.39	83.931	172.741138	178.954848	181.440332	193.867752	83.931	FP2
2018	1	977.0	HAR	brendon-hartley	85.925	28.164	23.148	34.454	85.925	172.119767	179.576219	181.440332	191.382268	85.766	FP2
2018	1	977.0	HUL	nico-hulkenberg	85.471	28.471	23.218	34.013	85.471			185.168558		85.702	FP2
2018	1	977.0	LEC	charles-leclerc	86.815	28.648	23.232	34.863	86.815	170.877025	180.818961	182.061703		86.743	FP2
2018	1	977.0	MAG	kevin-magnussen	85.246	28.077	23.165	34.004	85.246	175.226622	181.440332	179.576219	192.003639	85.246	FP2
2018	1	977.0	OCO	esteban-ocon	85.888	28.354	23.36	34.128	85.888	174.605251	180.19759	181.440332	194.489123	85.842	FP2
2018	1	977.0	PER	sergio-perez	85.413	28.075	23.136	34.202	85.413	174.605251	183.30444500000002	182.683074	194.489123	85.413	FP2
2018	1	977.0	RAI	kimi-raikkonen	84.214	27.789	22.745	33.68	84.214	172.741138	179.576219	185.168558	193.867752	84.214	FP2
2018	1	977.0	RIC	daniel-ricciardo	84.721	27.845	22.902	33.559	84.721	171.498396	179.576219	180.19759	188.896784	84.306	FP2
2018	1	977.0	SAI	carlos-sainz-jr	85.39	27.903	23.179	33.981	85.39	172.119767	180.19759	181.440332	190.139526	85.063	FP2
2018	1	977.0	SIR	sergey-sirotkin	85.974	28.251	23.337	34.308	85.974	172.119767	177.712106	180.818961	190.139526	85.896	FP2
2018	1	977.0	STR	lance-stroll	85.543	28.178	23.083	34.235	85.543	172.119767	178.333477	177.712106	189.518155	85.496	FP2
2018	1	977.0	VAN	stoffel-vandoorne	85.285	28.123	23.19	33.908	85.285	170.877025	177.090735	178.333477	187.654042	85.221	FP2
2018	1	977.0	VER	max-verstappen	84.058	27.906	22.782	33.37	84.058	171.498396	180.818961	181.440332	188.27541300000001	84.058	FP2
2018	1	977.0	VET	sebastian-vettel	84.46	27.853	22.837	33.671	84.46		178.954848	183.925816		84.361	FP2
2018	2	978.0	ALO	fernando-alonso	91.282	29.133	39.391	22.758	91.282	152.235895	164.041944	173.98388	190.760897	91.282	FP2
2018	2	978.0	BOT	valtteri-bottas	90.38	28.849	38.996	22.535	90.38	152.857266	165.906057	177.712106	195.110494	90.38	FP2
2018	2	978.0	ERI	marcus-ericsson	92.733	29.555	40.043	22.993	91.859	151.614524	165.284686	178.954848	195.110494	92.591	FP2
2018	2	978.0	GAS	pierre-gasly	91.232	29.07	39.236	22.676	91.232	150.371782	164.663315	175.226622	196.353236	90.982	FP2
2018	2	978.0	GRO	romain-grosjean	91.591	29.019	39.324	23.038	91.513	151.614524	166.52742800000001	174.605251	195.110494	91.381	FP2
2018	2	978.0	HAM	lewis-hamilton	90.472	28.746	38.915	22.757	90.472	151.614524	165.906057	182.061703	193.867752	90.418	FP2
2018	2	978.0	HAR	brendon-hartley	92.908	29.169	40.493	23.04	91.46	149.750411	164.663315	176.469364	195.731865	92.702	FP2
2018	2	978.0	HUL	nico-hulkenberg	91.22	28.974	39.368	22.878	91.144	152.857266	164.041944	177.090735	193.867752	91.22	FP2
