Round	Year	raceId	grandPrixId	SafetyCarStatus	redFlag	yellowFlag	doubleYellowFlag	raceId_results	dnf_count
1	2018	977	australia	2	0	4	2	977.0	5.0
1	2019	998	australia	0	0	2	0	998.0	3.0
1	2020	1019	austria	3	0	7	5	1019.0	9.0
1	2021	1036	bahrain	2	0	3	1	1036.0	4.0
1	2022	1058	bahrain	1	0	1	1	1058.0	3.0
1	2023	1080	bahrain	1	0	3	0	1080.0	3.0
1	2024	1102	bahrain	0	0	1	1		
2	2018	978	bahrain	1	0	5	8	978.0	3.0
2	2019	999	bahrain	1	0	6	8	999.0	4.0
2	2020	1020	styria	1	0	1	0	1020.0	3.0
2	2021	1037	emilia-romagna	2	1	8	1	1037.0	4.0
2	2022	1059	saudi-arabia	2	0	2	6	1059.0	7.0
2	2023	1081	saudi-arabia	1	0	2	2	1081.0	2.0
2	2024	1103	saudi-arabia	1	0	1	1	1103.0	2.0
3	2018	979	china	1	0	1	3	979.0	1.0
3	2019	1000	china	1	0	1	0	1000.0	3.0
3	2020	1021	hungary	0	0	4	1	1021.0	1.0
3	2021	1038	portugal	1	0	0	0	1038.0	1.0
3	2022	1060	australia	3	0	3	2	1060.0	3.0
3	2023	1082	australia	4	4	4	2	1082.0	8.0
3	2024	1104	australia	2	0	2	2	1104.0	3.0
4	2018	980	azerbaijan	2	0	7	8	980.0	7.0
4	2019	1001	azerbaijan	1	0	2	3	1001.0	4.0
4	2020	1022	great-britain	2	0	4	1	1022.0	3.0
4	2021	1039	spain	1	0	1	1	1039.0	1.0
4	2022	1061	emilia-romagna	1	0	2	3	1061.0	2.0
4	2023	1083	azerbaijan	1	0	4	3	1083.0	2.0
4	2024	1105	japan	0	1	2	1	1105.0	3.0
5	2018	981	spain	2	0	3	2	981.0	6.0
5	2019	1002	spain	1	0	2	2	1002.0	2.0
5	2020	1023	70th-anniversary	0	0	1	2	1023.0	1.0
5	2021	1040	monaco	0	0	0	0	1040.0	2.0
5	2022	1062	miami	1	0	4	2		
5	2023	1084	miami	0	0	1	1		
5	2024	1106	china	3	0	2	3	1106.0	3.0
6	2018	982	monaco	1	0	3	3	982.0	3.0
6	2019	1003	monaco	1	0	6	4	1003.0	1.0
6	2020	1024	spain	0	0	1	1	1024.0	1.0
6	2021	1041	azerbaijan	1	1	10	7	1041.0	4.0
6	2022	1063	spain	0	0	4	1	1063.0	2.0
6	2023	1085	monaco	0	0	9	7	1085.0	2.0
6	2024	1107	miami	2	0	1	2	1107.0	1.0
7	2018	983	canada	1	0	2	2	983.0	3.0
7	2019	1004	canada	0	0	1	4	1004.0	2.0
7	2020	1025	belgium	1	0	3	2	1025.0	3.0
7	2021	1042	france	0	0	0	0		
7	2022	1064	monaco	1	2	9	3	1064.0	3.0
7	2023	1086	spain	0	0	0	0		
7	2024	1108	emilia-romagna	0	0	1	1	1108.0	1.0
8	2018	984	france	2	0	4	4	984.0	5.0
8	2019	1005	france	1	0	2	3	1005.0	1.0
8	2020	1026	italy	2	1	3	1	1026.0	4.0
8	2021	1043	styria	0	0	0	1	1043.0	2.0
8	2022	1065	azerbaijan	2	0	4	3	1065.0	5.0
8	2023	1087	canada	2	0	6	2	1087.0	2.0
8	2024	1109	monaco	0	1	1	2	1109.0	4.0
9	2018	985	austria	1	0	7	6	985.0	6.0
9	2019	1006	austria	0	0	0	0		
9	2020	1027	tuscany	3	2	1	3	1027.0	8.0
9	2021	1044	austria	1	0	1	1	1044.0	1.0
9	2022	1066	canada	3	0	3	0	1066.0	3.0
9	2023	1088	austria	2	0	3	1	1088.0	1.0
9	2024	1110	canada	2	0	10	5	1110.0	5.0
10	2018	986	great-britain	2	0	7	6	986.0	5.0
10	2019	1007	great-britain	1	0	3	1	1007.0	3.0
10	2020	1028	russia	2	0	1	2	1028.0	2.0
10	2021	1045	great-britain	1	1	3	1	1045.0	2.0
10	2022	1067	great-britain	1	1	4	2	1067.0	6.0
10	2023	1089	great-britain	1	0	1	1	1089.0	3.0
10	2024	1111	spain	0	0	0	0		
11	2018	987	germany	1	0	5	1	987.0	5.0
11	2019	1008	germany	6	0	7	2	1008.0	7.0
11	2020	1029	eifel	2	0	4	1	1029.0	5.0
11	2021	1046	hungary	1	1	3	1	1046.0	7.0
11	2022	1068	austria	1	0	2	3	1068.0	3.0
11	2023	1090	hungary	0	0	1	2	1090.0	3.0
11	2024	1112	austria	1	0	1	0	1112.0	1.0
12	2018	988	hungary	2	0	2	0	988.0	3.0
12	2019	1009	hungary	0	0	1	1	1009.0	1.0
12	2020	1030	portugal	0	0	1	0	1030.0	1.0
12	2021	1047	belgium	0	2	1	1		
12	2022	1069	france	3	0	6	4	1069.0	5.0
12	2023	1091	belgium	0	0	3	4	1091.0	2.0
12	2024	1113	great-britain	0	0	0	0	1113.0	2.0
13	2018	989	belgium	1	0	1	0	989.0	5.0
13	2019	1010	belgium	1	0	2	4	1010.0	4.0
13	2020	1031	emilia-romagna	2	0	4	2	1031.0	5.0
13	2021	1048	netherlands	0	0	0	1	1048.0	3.0
13	2022	1070	hungary	2	0	4	2	1070.0	1.0
13	2023	1092	netherlands	2	1	3	2	1092.0	3.0
13	2024	1114	hungary	0	0	1	0	1114.0	1.0
14	2018	990	italy	1	0	2	1	990.0	4.0
14	2019	1011	italy	2	0	3	2	1011.0	3.0
14	2020	1032	turkey	1	0	12	10	1032.0	4.0
14	2021	1049	italy	3	0	4	3	1049.0	5.0
14	2022	1071	belgium	1	0	2	2	1071.0	2.0
14	2023	1093	italy	0	0	0	1	1093.0	2.0
14	2024	1115	belgium	0	0	1	0	1115.0	2.0
15	2018	991	singapore	1	0	1	3	991.0	1.0
15	2019	1012	singapore	3	0	4	3	1012.0	3.0
15	2020	1033	bahrain	2	1	1	3	1033.0	3.0
15	2021	1050	russia	0	0	3	3	1050.0	2.0
15	2022	1072	netherlands	2	0	6	1	1072.0	2.0
15	2023	1094	singapore	2	0	8	5	1094.0	5.0
15	2024	1116	netherlands	0	0	1	1		
16	2018	992	russia	0	0	3	0	992.0	2.0
16	2019	1013	russia	2	0	3	2	1013.0	5.0
16	2020	1034	sakhir	3	0	6	2	1034.0	3.0
16	2021	1051	turkey	0	0	4	0		
16	2022	1073	italy	2	0	2	2	1073.0	4.0
16	2023	1095	japan	2	0	2	4	1095.0	5.0
16	2024	1117	italy	0	0	0	0	1117.0	1.0
17	2018	993	japan	2	0	2	2	993.0	3.0
17	2019	1014	japan	0	0	2	0	1014.0	3.0
17	2020	1035	abu-dhabi	2	0	1	0	1035.0	1.0
17	2021	1052	united-states	1	0	1	1	1052.0	3.0
17	2022	1074	singapore	5	0	6	6	1074.0	6.0
17	2023	1096	qatar	1	0	3	0	1096.0	3.0
17	2024	1118	azerbaijan	1	0	4	3	1118.0	4.0
18	2018	994	united-states	1	0	3	1	994.0	6.0
18	2019	1015	mexico	1	0	2	0	1015.0	2.0
18	2021	1053	mexico	1	0	1	1	1053.0	2.0
18	2022	1075	japan	1	1	1	1	1075.0	2.0
18	2023	1097	united-states	0	0	1	2	1097.0	5.0
18	2024	1119	singapore	0	0	0	0	1119.0	2.0
19	2018	995	mexico	3	0	3	0	995.0	4.0
19	2019	1016	united-states	0	0	2	2	1016.0	4.0
19	2021	1054	sao-paulo	3	0	0	2	1054.0	2.0
19	2022	1076	united-states	2	0	4	3	1076.0	3.0
19	2023	1098	mexico	2	1	5	3	1098.0	5.0
19	2024	1120	united-states	1	0	4	3	1120.0	1.0
20	2018	996	brazil	0	0	2	2	996.0	2.0
20	2019	1017	brazil	2	0	1	5	1017.0	4.0
20	2021	1055	qatar	1	0	5	2	1055.0	2.0
20	2022	1077	mexico	1	0	1	1	1077.0	2.0
20	2023	1099	sao-paulo	1	1	1	1	1099.0	6.0
20	2024	1121	mexico	1	0	2	2	1121.0	3.0
21	2018	997	abu-dhabi	2	0	5	3	997.0	5.0
21	2019	1018	abu-dhabi	0	0	1	0	1018.0	1.0
21	2021	1056	saudi-arabia	5	2	2	5		
21	2022	1078	sao-paulo	3	0	2	2	1078.0	3.0
21	2023	1100	las-vegas	3	0	7	2		
21	2024	1122	sao-paulo	3	1	3	13	1122.0	5.0
