year	round	event_name	driver	num_stints	starting_compound	avg_stint_length	max_stint_length	avg_tire_degradation_sec	soft_ratio	used_hard	used_medium	used_soft	total_laps	total_race_laps
2018	1	Australian Grand Prix	GAS	1	ULTRASOFT	13.0	13	-2.0293333333333408	0.0	0	0	0	14	58
2018	1	Australian Grand Prix	PER	2	ULTRASOFT	28.5	34	-13.128999999999998	0.5862068965517241	0	0	1	58	58
2018	1	Australian Grand Prix	ALO	2	ULTRASOFT	28.5	32	-9.241333333333325	0.5517241379310345	0	0	1	58	58
2018	1	Australian Grand Prix	LEC	3	SUPERSOFT	19.0	31	6.284111111111116	0.1206896551724138	0	0	1	58	58
2018	1	Australian Grand Prix	STR	3	SUPERSOFT	19.0	29	-1.677666666666667	0.0689655172413793	0	0	1	58	58
2018	1	Australian Grand Prix	VAN	2	ULTRASOFT	28.5	33	-16.90216666666668	0.0	0	0	0	58	58
2018	1	Australian Grand Prix	MAG	1	ULTRASOFT	21.0	21	4.710666666666668	0.0	0	0	0	22	58
2018	1	Australian Grand Prix	HUL	2	ULTRASOFT	28.5	34	-12.13466666666666	0.5862068965517241	0	0	1	58	58
2018	1	Australian Grand Prix	HAR	2	SOFT	28.0	35	-3.835333333333352	0.3684210526315789	0	0	1	57	58
2018	1	Australian Grand Prix	RIC	2	SUPERSOFT	28.5	32	-11.026000000000003	0.5517241379310345	0	0	1	58	58
2018	1	Australian Grand Prix	OCO	2	ULTRASOFT	28.5	35	-7.186666666666667	0.603448275862069	0	0	1	58	58
2018	1	Australian Grand Prix	VER	2	SUPERSOFT	28.5	37	0.9510000000000004	0.6379310344827587	0	0	1	58	58
2018	1	Australian Grand Prix	SIR	1	SUPERSOFT	4.0	4		0.0	0	0	0	5	58
2018	1	Australian Grand Prix	HAM	2	ULTRASOFT	28.0	39	1.0316666666666805	0.6724137931034483	0	0	1	58	58
2018	1	Australian Grand Prix	VET	2	ULTRASOFT	28.5	32	-15.006500000000004	0.5517241379310345	0	0	1	58	58
