season,position,name,points,team
2017,"1
C. Leclerc",282,"18
15","19
17"
2017,"2
A. Markelov",210,"29
4","27
1"
2017,"3
O. Rowland",191,"0
2","10
10"
2017,"4
L. Ghiotto",185,"15
6","6
12"
2017,"5
N. Latifi",178,"10
12","0
8"
2017,"6
N. Matsushita",131,"8
8","4
0"
2017,"7
N. de Vries",114,"12
0","1
4"
2017,"8
A. Fuoco",98,"0
0","2
0"
2017,"9
N. Nato",91,"0
0","18
0"
2017,"10
A. Albon",86,"8
12","8
2"
2017,"11
J. King",62,"4
0","12
6"
2017,"12
S. Sette Câmara",47,"2
1","0
0"
2017,"13
G. Malja",44,"0
0","0
0"
2017,"14
S. Canamasas",21,"-
-","0
0"
2017,"15
S. Gelael",17,"0
0","0
0"
2017,"16
L. Delétraz",16,"1
0","0
0"
2017,"17
R. Merhi",16,"0
0","-
-"
2017,"18
J. Cecotto",16,"-
-","0
0"
2017,"19
R. Boschung",11,"-
-","0
0"
2017,"20
S. Sirotkin",9,"-
-","-
-"
2017,"21
Á. Palou",5,"0
0","-
-"
2017,"22
S. Ferrucci",4,"0
0","-
-"
2017,"23
N. Jeffri",2,"0
0","0
0"
2017,"24
R. Visoiu",1,"-
-","-
-"
2017,"25
L. Norris",0,"0
0","-
-"
2017,"26
C. Ilott",0,"-
-","-
-"
2017,"27
S. Coletti",0,"-
-","0
0"
2017,"28
R. Binder",0,"-
-","-
-"
2017,"29
R. Marciello",0,"-
-","-
-"
2018,"1
G. Russell",287,"29
10","10
0"
2018,"2
L. Norris",219,"10
12","31
8"
2018,"3
A. Albon",212,"0
1","12
0"
2018,"4
N. de Vries",202,"12
6","8
8"
2018,"5
A. Markelov",186,"18
2","15
15"
2018,"6
S. Sette Câmara",164,"0
0","18
10"
2018,"7
A. Fuoco",141,"6
15","0
0"
2018,"8
L. Ghiotto",111,"17
0","0
4"
2018,"9
N. Latifi",91,"0
0","0
0"
2018,"10
L. Delétraz",74,"8
4","0
0"
2018,"11
J. Aitken",63,"1
0","2
0"
2018,"12
R. Merhi",61,"4
10","0
0"
2018,"13
T. Makino",48,"2
0","0
0"
2018,"14
M. Günther",41,"-
-","4
12"
2018,"15
S. Gelael",29,"0
0","6
0"
2018,"16
A. Maini",24,"0
0","0
0"
2018,"17
R. Boschung",17,"-
-","1
2"
2018,"18
N. Fukuzumi",17,"0
0","0
1"
2018,"19
S. Ferrucci",7,"-
-","0
0"
2018,"20
A. Lorandi",6,"0
0","-
-"
2018,"21
D. Boccolacci",3,"0
0","-
-"
2018,"22
R. Nissany",1,"-
-","0
0"
2018,"23
D. Ticktum",0,"0
0","-
-"
2018,"24
N. Kari",0,"0
0","-
-"
2019,"1
N. de Vries",266,"0
0","8
4"
2019,"2
N. Latifi",214,"6
14","25
10"
2019,"3
L. Ghiotto",207,"8
15","22
15"
2019,"4
S. Sette Câmara",204,"29
10","15
12"
