season,session,round,position,number,driver,team,col_5,col_6,col_7,col_8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","1
1
C. Leclerc
PREMA Racing",23,43:01.023,-,-,173.275,1:44.074,16
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","2
5
L. Ghiotto
RUSSIAN TIME",23,43:02.592,1.569,-,173.170,1:47.043,7
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","3
9
O. Rowland
DAMS",23,43:03.921,2.898,1.329,173.081,1:47.175,8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","4
10
N. Latifi
DAMS",23,43:08.598,7.575,4.677,172.768,1:47.760,14
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","5
15
J. King
MP Motorsport",23,43:10.985,9.962,2.387,172.609,1:46.998,7
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","6
18
N. de Vries
Rapax",23,43:11.888,10.865,0.903,172.549,1:47.632,10
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","7
8
A. Albon
ART Grand Prix",23,43:12.405,11.382,0.517,172.514,1:47.821,8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","8
6
A. Markelov
RUSSIAN TIME",23,43:19.976,18.953,7.571,172.012,1:45.891,11
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","9
19
J. Cecotto
Rapax",23,43:20.173,19.150,0.197,171.999,1:47.868,13
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","10
2
A. Fuoco
PREMA Racing",23,43:21.006,19.983,0.833,171.944,1:46.884,7
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","11
17
S. Canamasas
Trident",23,43:29.852,28.829,8.846,171.361,1:48.247,10
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","12
3
L. Delétraz
Racing Engineering",23,43:32.210,31.187,2.358,171.206,1:48.033,8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","13
4
G. Malja
Racing Engineering",23,43:34.645,33.622,2.435,171.047,1:48.684,8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","14
7
N. Matsushita
ART Grand Prix",23,43:35.415,34.392,0.770,170.996,1:45.961,12
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","15
12
S. Coletti
Campos Racing",23,43:36.924,35.901,1.509,170.898,1:47.837,11
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","16
16
N. Jeffri
Trident",23,43:42.618,41.595,5.694,170.527,1:48.576,8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","17
21
S. Gelael
Pertamina Arden",23,43:53.052,52.029,10.434,169.851,1:46.512,13
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","18
14
S. Sette Câmara
MP Motorsport",23,44:09.593,68.570,16.541,168.791,1:43.950,22
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","DNF
11
R. Boschung
Campos Racing",9,18:00.533,DNF,-,161.460,1:48.243,9
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results","DNF
20
N. Nato
Pertamina Arden",-,-,DNF,-,-,-,-
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",16A. MarkelovMARRUSSIAN TIME,32,58:18.977,-,-,177.931,1:46.038,24
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",220N. NatoNATPertamina Arden,32,58:26.868,7.891,-,177.530,1:46.187,18
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",31C. LeclercLECPREMA Racing,32,58:32.757,13.780,5.889,177.233,1:46.550,24
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",415J. KingKINMP Motorsport,32,58:36.455,17.478,3.698,177.046,1:46.729,19
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",59O. RowlandROWDAMS,32,58:37.121,18.144,0.666,177.013,1:46.761,21
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",68A. AlbonALBART Grand Prix,32,58:38.721,19.744,1.600,176.932,1:46.171,19
