season,position,name,points
2017,"1
RUSSIAN TIME",395,"44
10"
2017,"2
PREMA Racing",380,"18
15"
2017,"3
DAMS Lucas Oil",369,"10
14"
2017,"4
ART Grand Prix",226,"16
20"
2017,"5
Rapax",137,"1
0"
2017,"6
MP Motorsport",109,"6
1"
2017,"7
BWT Arden",108,"0
0"
2017,"8
Racing Eng.",87,"12
0"
2017,"9
Campos Racing",17,"0
0"
2017,"10
TRIDENT",9,"0
0"
2018,"1
Rodin Motorsport",383,"10
12"
2018,"2
ART Grand Prix",350,"30
10"
2018,"3
DAMS Lucas Oil",303,"0
1"
2018,"4
RUSSIAN TIME",234,"20
2"
2018,"5
PREMA Racing",231,"12
6"
2018,"6
Charouz Racing System",215,"14
19"
2018,"7
Campos Racing",132,"21
10"
2018,"8
MP Motorsport",61,"0
0"
2018,"9
BWT Arden",58,"0
0"
2018,"10
TRIDENT",37,"0
0"
2019,"1
DAMS Lucas Oil",418,"35
24"
2019,"2
Invicta Racing",347,"25
16"
2019,"3
ART Grand Prix",277,"1
0"
2019,"4
Rodin Motorsport",236,"30
6"
2019,"5
Campos Racing",189,"0
0"
2019,"6
Charouz Racing System",110,"10
8"
2019,"7
MP Motorsport",96,"0
0"
2019,"8
BWT Arden",77,"0
0"
2019,"9
PREMA Racing",68,"2
0"
2019,"10
TRIDENT",23,"4
6"
2020,"1
PREMA Racing",392,"22
6"
2020,"2
Invicta Racing",352.5,"28
8"
2020,"3
Rodin Motorsport",272,"35
29"
2020,"4
Hitech",270,"2
2"
2020,"5
ART Grand Prix",201,"0
0"
2020,"6
MP Motorsport",167,"15
5"
2020,"7
Charouz Racing System",137,"1
0"
2020,"8
DAMS Lucas Oil",115.5,"4
10"
2020,"9
Campos Racing",48,"0
0"
2020,"10
HWA RACELAB",13,"0
0"
2020,"11
TRIDENT",6,"0
0"
2021,"1
PREMA Racing",444.5,"18
12
39"
2021,"2
Invicta Racing",288,"13
21
33"
2021,"3
Rodin Motorsport",272.5,"19
10
8"
2021,"4
Hitech",223,"6
4
4"
2021,"5
ART Grand Prix",190,"2
0
14"
2021,"6
MP Motorsport",75,"0
1
0"
2021,"7
Campos Racing",66.5,"0
10
2"
2021,"8
DAMS Lucas Oil",65,"0
0
6"
2021,"9
TRIDENT",35,"0
0
0"
2021,"10
Charouz Racing System",28,"0
0
1"
2021,"11
HWA RACELAB",9,"0
0
0"
2022,"1
MP Motorsport",305,"6
18"
2022,"2
Rodin Motorsport",297,"14
25"
2022,"3
ART Grand Prix",281,"0
0"
2022,"4
PREMA Racing",241,"5
12"
2022,"5
Hitech",207,"0
6"
2022,"6
DAMS Lucas Oil",161,"1
28"
2022,"7
Invicta Racing",134,"2
0"
2022,"8
Charouz Racing System",130,"0
0"
2022,"9
TRIDENT",108,"8
6"
2022,"10
Van Amersfoort Racing",73,"4
8"
2022,"11
Campos Racing",67,"0
0"
2023,"1
ART Grand Prix",353,"2
29"
2023,"2
PREMA Racing",322,"11
15"
2023,"3
Rodin Motorsport",220,"8
0"
2023,"4
DAMS Lucas Oil",214,"1
20"
2023,"5
Invicta Racing",176,"3
27"
2023,"6
MP Motorsport",172,"5
6"
2023,"7
Van Amersfoort Racing",121,"6
0"
2023,"8
Hitech",112,"4
5"
2023,"9
Campos Racing",99,"0
2"
2023,"10
TRIDENT",43,"0
0"
2023,"11
AIX Racing",0,"0
0"
2024,"1
Invicta Racing",288.5,"8
18"
2024,"2
Campos Racing",254,"15
8"
2024,"3
MP Motorsport",220.5,"2
18"
2024,"4
Hitech",202,"0
4"
2024,"5
PREMA Racing",194,"5
10"
2024,"6
DAMS Lucas Oil",178,"7
6"
2024,"7
ART Grand Prix",173,"3
14"
2024,"8
Rodin Motorsport",171,"0
1"
2024,"9
AIX Racing",105,"0
25"
2024,"10
TRIDENT",105,"0
0"
2024,"11
Van Amersfoort Racing",78,"0
0"
2025,"1
Invicta Racing",316,"0
20"
2025,"2
Hitech",278,"5
12"
2025,"3
Campos Racing",258,"17
2"
2025,"4
DAMS Lucas Oil",207,"3
8"
2025,"5
MP Motorsport",207,"4
10"
2025,"6
PREMA Racing",163,"0
15"
2025,"7
Rodin Motorsport",155,"1
0"
2025,"8
ART Grand Prix",127,"2
4"
2025,"9
AIX Racing",107,"8
25"
2025,"10
Van Amersfoort Racing",44,"0
8"
2025,"11
TRIDENT",2,"0
0"
2026,"1
Campos Racing",33,"0
0"
2026,"2
Invicta Racing",29,"0
0"
2026,"3
Hitech",20,"0
0"
2026,"4
MP Motorsport",19,"0
0"
2026,"5
TRIDENT",18,"0
0"
2026,"6
ART Grand Prix",13,"0
0"
2026,"7
Rodin Motorsport",7,"0
0"
2026,"8
DAMS Lucas Oil",3,"0
0"
2026,"9
PREMA Racing",2,"0
0"
2026,"10
Van Amersfoort Racing",0,"0
0"
2026,"11
AIX Racing",0,"0
0"
