resultsDriverName,p2_5,p97_5
Alexander Albon,-2.6008118750000007,3.5616065624999997
Antonio Giovinazzi,-2.8762596250000003,3.9343789499999984
Arvid Lindblad,,
Brendon Hartley,-1.9414285,0.5805812000000002
Carlos Sainz Jr.,-4.295411395,3.325511800000001
Charles Leclerc,-3.3279306249999996,3.8640745
Daniel Ricciardo,-3.6797486175000005,1.5301740774999988
Daniil Kvyat,-4.326395999999999,2.32911425
Esteban Gutiérrez,,
Esteban Ocon,-4.56891025,1.99810235
Felipe Massa,-3.3816226999999994,2.9641428999999997
Felipe Nasr,,
Fernando Alonso,-2.2804293324999994,3.6332621324999947
Franco Colapinto,-1.6403864000000006,3.3687928
Gabriel Bortoleto,-3.7261799250000003,1.7236464999999992
George Russell,-2.216478000000001,3.1084905799999993
Guanyu Zhou,-3.1387320999999995,2.3389780875000006
Isack Hadjar,-6.326279,1.076249675
Jenson Button,,
Jolyon Palmer,,
Kevin Magnussen,-4.0600473,3.097644099999997
Kimi Antonelli,-0.7527892449999998,1.6986489500000002
Kimi Räikkönen,-2.6863184,3.3044806999999965
Lance Stroll,-3.8165422,11.700364199999997
Lando Norris,-2.03279696,2.9394755199999962
Lewis Hamilton,-2.0284816,1.575967
Liam Lawson,-0.5275387000000007,2.96272376
Logan Sargeant,-1.5926949999999993,1.0646748750000006
Marcus Ericsson,-3.436430375,1.89936915
Max Verstappen,-3.6553862625,3.985057625
Mick Schumacher,-1.995672625000001,2.7019385000000007
Nicholas Latifi,-2.31739945,1.4937183500000004
Nico Hülkenberg,-4.855311974999999,6.153874599999996
Nico Rosberg,-1.7687021625,2.36197965
Nikita Mazepin,,
Nyck de Vries,,
Oliver Bearman,-5.77312444,2.9388123999999993
Oscar Piastri,-4.1019417725,1.6550390750000004
Pascal Wehrlein,-1.7735175,0.8643198499999991
Pierre Gasly,-2.5997959999999996,2.3852590000000005
Pietro Fittipaldi,,
Rio Haryanto,,
Robert Kubica,,
Romain Grosjean,-4.32373135,5.897041700000001
Sebastian Vettel,-2.4482028,3.4218806999999996
Sergey Sirotkin,,
Sergio Pérez,-5.828561349999999,2.6515417499999976
Stoffel Vandoorne,-1.7343774999999997,2.4164041249999997
Valtteri Bottas,-3.5097998500000003,2.9455362249999997
Yuki Tsunoda,-3.0683740250000007,3.1644682499999988
