resultsDriverName,grandPrixName,p2_5,p97_5
Alexander Albon,Australian Grand Prix,,
Alexander Albon,Azerbaijan Grand Prix,,
Alexander Albon,Belgian Grand Prix,,
Alexander Albon,Dutch Grand Prix,,
Alexander Albon,Hungarian Grand Prix,,
Alexander Albon,Italian Grand Prix,,
Alexander Albon,Las Vegas Grand Prix,,
Alexander Albon,Mexican Grand Prix,,
Alexander Albon,Singapore Grand Prix,,
Alexander Albon,São Paulo Grand Prix,,
Alexander Albon,United States Grand Prix,,
Andrea Antonelli,Belgian Grand Prix,,
Andrea Antonelli,Dutch Grand Prix,,
Andrea Antonelli,Hungarian Grand Prix,,
Carlos Sainz Jr.,Australian Grand Prix,,
Carlos Sainz Jr.,Azerbaijan Grand Prix,,
Carlos Sainz Jr.,Belgian Grand Prix,,
Carlos Sainz Jr.,Dutch Grand Prix,,
Carlos Sainz Jr.,Hungarian Grand Prix,,
Carlos Sainz Jr.,Italian Grand Prix,,
Carlos Sainz Jr.,Las Vegas Grand Prix,,
Carlos Sainz Jr.,Mexican Grand Prix,,
Carlos Sainz Jr.,Singapore Grand Prix,,
Carlos Sainz Jr.,São Paulo Grand Prix,,
Carlos Sainz Jr.,United States Grand Prix,,
Charles Leclerc,Australian Grand Prix,,
Charles Leclerc,Azerbaijan Grand Prix,,
Charles Leclerc,Belgian Grand Prix,,
Charles Leclerc,Dutch Grand Prix,,
Charles Leclerc,Hungarian Grand Prix,,
Charles Leclerc,Italian Grand Prix,,
Charles Leclerc,Las Vegas Grand Prix,,
Charles Leclerc,Mexican Grand Prix,,
Charles Leclerc,Singapore Grand Prix,,
Charles Leclerc,São Paulo Grand Prix,,
Charles Leclerc,United States Grand Prix,,
Esteban Ocon,Australian Grand Prix,,
Esteban Ocon,Azerbaijan Grand Prix,,
Esteban Ocon,Belgian Grand Prix,,
Esteban Ocon,Dutch Grand Prix,,
Esteban Ocon,Hungarian Grand Prix,,
Esteban Ocon,Italian Grand Prix,,
Esteban Ocon,Las Vegas Grand Prix,,
Esteban Ocon,Mexican Grand Prix,,
Esteban Ocon,Singapore Grand Prix,,
Esteban Ocon,São Paulo Grand Prix,,
Esteban Ocon,United States Grand Prix,,
Fernando Alonso,Australian Grand Prix,,
Fernando Alonso,Azerbaijan Grand Prix,,
Fernando Alonso,Belgian Grand Prix,,
Fernando Alonso,Dutch Grand Prix,,
Fernando Alonso,Hungarian Grand Prix,,
Fernando Alonso,Italian Grand Prix,,
Fernando Alonso,Las Vegas Grand Prix,,
Fernando Alonso,Mexican Grand Prix,,
Fernando Alonso,Singapore Grand Prix,,
Fernando Alonso,São Paulo Grand Prix,,
Fernando Alonso,United States Grand Prix,,
Franco Colapinto,Australian Grand Prix,,
Franco Colapinto,Azerbaijan Grand Prix,,
Franco Colapinto,Belgian Grand Prix,,
Franco Colapinto,Dutch Grand Prix,,
Franco Colapinto,Hungarian Grand Prix,,
Franco Colapinto,Italian Grand Prix,,
Franco Colapinto,Las Vegas Grand Prix,,
Franco Colapinto,Mexican Grand Prix,,
Franco Colapinto,Singapore Grand Prix,,
Franco Colapinto,São Paulo Grand Prix,,
Franco Colapinto,United States Grand Prix,,
Gabriel Bortoleto,Australian Grand Prix,,
Gabriel Bortoleto,Azerbaijan Grand Prix,,
Gabriel Bortoleto,Belgian Grand Prix,,
Gabriel Bortoleto,Dutch Grand Prix,,
Gabriel Bortoleto,Hungarian Grand Prix,,
Gabriel Bortoleto,Italian Grand Prix,,
Gabriel Bortoleto,Las Vegas Grand Prix,,
Gabriel Bortoleto,Mexican Grand Prix,,
Gabriel Bortoleto,Singapore Grand Prix,,
Gabriel Bortoleto,São Paulo Grand Prix,,
Gabriel Bortoleto,United States Grand Prix,,
George Russell,Australian Grand Prix,,
George Russell,Azerbaijan Grand Prix,,
George Russell,Belgian Grand Prix,,
George Russell,Dutch Grand Prix,,
George Russell,Hungarian Grand Prix,,
George Russell,Italian Grand Prix,,
George Russell,Las Vegas Grand Prix,,
George Russell,Mexican Grand Prix,,
